,-0.10531214846353702,-0.09292248393841503,-0.08053281941329303,-0.06814315488817103,-0.05575349036304904,-0.04336382583792704,-0.030974161312805046,-0.01858449678768305,-0.006194832262561054,0.0061948322625609425,0.01858449678768294,0.030974161312804935,0.04336382583792693,0.05575349036304893,0.06814315488817092,0.08053281941329292,0.09292248393841492,0.10531214846353691,0.11770181298865891,0.13009147751378092
thresh,-0.06194832262561001,0.06194832262561001,1,,,,,,,,,,,,,,,,,
unreg,1,0,0,2,3,15,74,485,1680,1431,358,74,36,16,20,8,3,1,3,1
unreg_genes,['dgkA'],[],[],['speE' 'speD'],[],[],[],[],[],[],[],[],[],[],"['rpoD' 'ycaL' 'dnaG' 'truC' 'ypeB' 'aroA' 'tcyN' 'nusA' 'rbfA' 'infB'
 'fadD' 'rimP' 'emrB' 'mutT' 'truB' 'alx' 'yfaA' 'proY' 'ligA' 'ykfF']",['yqcC' 'tusE' 'rsmJ' 'greA' 'deaD' 'der' 'rnk' 'ybfP'],['speB' 'ygcW' 'yfgJ'],['obgE'],['yjaA' 'recX' 'yjeT'],['yhbE']
