,A,MntR
R2,,0.11252874696609838
xmin,,-2.5370295298499177
xmid,,
xmax,,1.0381224228847843
ystart,,8.569896158119768
yend,,-1.3298962985902065
amb:ctrl:1,-1.400418994064473,-0.037696021375355215
amb:ctrl:2,-0.3811927182656128,-0.10574927245708388
amb:ctrl:3,1.781611712330023,0.1434452938324391
amb:amb:1,-0.7903445233567008,-0.14359589958806573
amb:amb:2,0.8759262743786352,0.3591570611562531
amb:amb:3,2.3780362621698954,0.5410189881459111
ave1:ctrl_5m:1,-0.5215264260046408,0.10783116628955723
ave1:vdave1_5m:1,-1.0543089579032467,-0.0039380766145704635
ave1:ctrl_20m:1,1.2254827690122447,0.02780466156180061
ave1:vdave1_20m:1,1.2871703160179104,0.09065110592570846
ave1:supernatant_5m:1,-0.44497408990641946,0.1288136884166029
ave1:vnave1_20m:1,1.1339168894782519,0.12830367655308986
ave1:supernatant_20m:1,0.9335966087844236,0.03998317662817996
ave1:ctrl_5m:2,0.5215264260046423,-0.10783116628955547
ave1:vdave1_5m:2,-0.5065300306649309,-0.14277027773480988
ave1:ctrl_20m:2,1.0907747131447347,0.04339988222185909
ave1:vdave1_20m:2,0.9733731252365936,0.05819444470597901
ave1:supernatant_5m:2,-0.19162397039002224,-0.2120648649501664
ave1:vnave1_20m:2,1.002509085001528,0.09684040818453887
ave1:supernatant_20m:2,0.6119739606599864,0.07850521886373585
biofilm_time:8h:1,0.5594682211536098,0.011614724394666707
biofilm_time:8h:2,-0.3466234581118232,0.004748495833721833
biofilm_time:8h:3,-0.6958690155077845,-0.006441463472480535
biofilm_time:8h:4,0.4830242524660269,-0.00992175675591156
biofilm_time:12h:1,-1.1825028480448787,-0.3756353769613288
biofilm_time:12h:2,0.3793931520440909,-0.5082836406433255
biofilm_time:12h:3,1.331714369990045,-0.4451925079086347
biofilm_time:12h:4,1.3878979191432852,-0.627072371332094
biofilm_time:16h:1,3.5227827099658624,-1.2787001128921531
biofilm_time:16h:2,2.2941517224586674,-1.2931163763042657
biofilm_time:16h:3,5.8910633776484875,-1.6385329880619777
biofilm_time:16h:4,6.571376852544257,-1.5318351562595032
biofilm_time:20h:1,6.737639967117914,-0.9088173348241444
biofilm_time:20h:2,3.3109539361494433,-0.7003626168530541
biofilm_time:20h:3,7.2925186176536165,-0.9058983940796494
biofilm_time:20h:4,4.129594595186649,-0.7064601735924612
biofilm_time:24h:1,5.4592971104354575,-0.4989655304286202
biofilm_time:24h:2,3.4180057600628144,-0.9957697100367682
biofilm_time:24h:3,3.0461118926075184,-0.6582528910431833
biofilm_time:24h:4,4.4091991679262446,-0.8320200181520967
biofilm_time:28h:1,9.725327715787929,-1.3122523562060897
biofilm_time:28h:2,7.1283733888935314,-1.2705636827235285
biofilm_time:28h:3,8.210423909427996,-1.1770061839086203
biofilm_time:28h:4,7.7056509620949925,-1.064679115093849
biofilm_time:32h:1,10.705305048393793,-0.9789587630192268
biofilm_time:32h:2,10.087882884772648,-1.1057422839171205
biofilm_time:32h:3,10.642406669887347,-1.3306457469249595
biofilm_time:32h:4,10.706920928145676,-1.2441319782572524
codY:wt:1,0.8105936014620662,-0.1987799992030084
codY:wt:2,-0.8105936014620665,0.1987799992030066
codY:ctrl:1,2.1429966802239013,-0.2470156884454351
codY:ctrl:2,-0.7122581699348621,0.08999725681125881
codY:codYR61K:1,2.5317724793908134,-0.24987088722553885
codY:codYR61K:2,-0.6676997313680649,0.2730581022962859
codY:codYR61H:1,3.0864988864716034,-0.3092880004253775
codY:codYR61H:2,0.24497972862863995,0.1827177067091004
codY:codYF71Y:1,-0.9012432003804116,0.23792529266226656
codY:codYF71Y:2,-1.2535272908562969,0.2145573480222307
decay:wt:1,-0.8012871288919992,0.2299853687685465
decay:wt:2,-0.14138506741007412,0.16877674900251893
decay:wt:3,0.9426721963020916,-0.3987621177710663
decay:delpnpA:1,-9.497764640776914,-0.7318863271566727
decay:delpnpA:2,-10.749330449339604,-0.0641189118840888
decay:delpnpA:3,-10.863951123273218,0.08293288551868105
ecm_tasA:deltasA:1,-0.12571972536146647,0.12975857706198826
ecm_tasA:deltasA:2,0.7401589013072677,0.26159811792110155
ecm_tasA:deltasA:3,0.4853094171295291,0.16263010790775034
ecm_tasA:delcssRS:1,-2.033646141101827,0.8935618479377041
ecm_tasA:delcssRS:2,-3.761745603307716,0.8612837299740104
ecm_tasA:delcssRS:3,-1.692002001900444,0.9780232791273118
ecm_tasA:wt:1,-0.029105200274506186,0.09933196970838763
