,cyaA
Cr_1,0.0016793643393723107
Cr_2,0.005535025182533197
Cr_3,0.005969881107958408
Cr_4,0.009850246132165737
Cr_5,0.01215721083130365
Cr_6,0.01351585052925166
Fe_1,-0.0035440695484007475
Fe_2,-0.0205150272135272
Fe_3,-0.04328463249044685
Fe_4,-0.06813384798977057
Fe_5,-0.07843789743209789
Fe_6,-0.0828703818705423
Cd_1,0.0003706766234684912
Cd_2,0.0033087929200305397
Cd_3,0.007796469495551362
Cd_4,0.013425041304514091
Cd_5,0.014739215427282822
Cd_6,0.020654129778181502
Zn_1,0.00022128986269106767
Zn_2,0.007087667364065002
Zn_3,0.015348550081167532
Zn_4,0.03490820687487763
Zn_5,0.044347575680816716
Zn_6,0.04742322941093044
Cu_1,0.002289183088718329
Cu_2,0.007028293587521437
Cu_3,0.010896772726101064
Cu_4,0.018193935005694082
Cu_5,0.024589544728078942
Cu_6,0.033572685930200824
Pb_1,0.00933061919298157
Pb_2,0.01822715826969984
Pb_3,0.030987482429184386
Pb_4,0.03732913475278242
Pb_5,0.052189017148233305
Pb_6,0.06730157386667526
