,rplT
Cr_1,-0.0016184128676102491
Cr_2,0.0006248542434102545
Cr_3,0.0033637047376576905
Cr_4,0.008870353949142309
Cr_5,0.016668186436640253
Cr_6,0.020665663113939785
Fe_1,-0.012083331421050546
Fe_2,-0.02473928185268064
Fe_3,-0.03135395315309827
Fe_4,-0.038382889994989185
Fe_5,-0.03679422908191952
Fe_6,-0.029169559355363608
Cd_1,-0.0031556621312304484
Cd_2,-0.0036435939201122226
Cd_3,-0.0076000981813254265
Cd_4,-0.009917682398846656
Cd_5,-0.016606267938655158
Cd_6,-0.0239072776478487
Zn_1,-1.6600431145380424e-06
Zn_2,0.004798816693822679
Zn_3,0.020464273256565454
Zn_4,0.03792911570387465
Zn_5,0.050275214534281305
Zn_6,0.06208902065696036
Cu_1,-0.006105031293543364
Cu_2,-0.008352152638675609
Cu_3,-0.005997917851176315
Cu_4,-0.008662310844249005
Cu_5,-0.006008509263948182
Cu_6,-0.0031874485988595603
Pb_1,0.005700354163035357
Pb_2,0.005903228608925533
Pb_3,0.012215977912133852
Pb_4,0.02787174770587526
Pb_5,0.03536503445815987
Pb_6,0.041787314763248665
