,sirA
Cr_1,0.0028850256583735985
Cr_2,0.0043985197270242785
Cr_3,0.00606657960329941
Cr_4,0.0046370797756548066
Cr_5,0.001810316953108874
Cr_6,-0.0016802397509119481
Fe_1,-0.0048654518368266295
Fe_2,-0.0014000371631257894
Fe_3,0.010098722962578523
Fe_4,0.015503000328088696
Fe_5,0.02745615838783561
Fe_6,0.04197774198296955
Cd_1,0.0005097483529117092
Cd_2,0.0013261762449772686
Cd_3,0.0027381703475108515
Cd_4,0.003738810491210628
Cd_5,-0.0009895517177548995
Cd_6,-0.0006032198465460452
Zn_1,-0.002586637120071635
Zn_2,-0.0014189699859195187
Zn_3,0.008629549688839055
Zn_4,0.023383956284692625
Zn_5,0.03204973886417977
Zn_6,0.04104571289204085
Cu_1,0.001831153000149402
Cu_2,0.005103314291406325
Cu_3,0.009119847117559336
Cu_4,0.011243715586082116
Cu_5,0.013138416834911513
Cu_6,0.017893046953911057
Pb_1,0.0015040887589668544
Pb_2,0.0022882168999623785
Pb_3,0.0036623061274818963
Pb_4,0.007602661071718009
Pb_5,0.010714797989196063
Pb_6,0.015249383647326331
