,A,BenR
R2,,0.09823268236859695
xmin,,-1.5641800665000003
xmid,,0.3527322730856204
xmax,,3.86434487175
ystart,,-0.9070194148382488
yend,,-5.304401953853249
ALE:GalactoseA5:1.0,-3.772203205890678,3.3599656137500005
ALE:GalactoseA5:2.0,-4.427179223241524,3.34461709975
ALE:GalactoseA6:1.0,-2.407906925005399,2.33898759375
ALE:GalactoseA6:2.0,-1.8144636474391689,2.15883645375
ALE:GalactoseA8:1.0,-3.1385006680972936,2.25852535175
ALE:GalactoseA8:2.0,-2.7779242310297536,2.28632442475
ALE:IL_Control:1.0,0.0278106320216019,-0.0564950452499997
ALE:IL_Control:2.0,-0.5418897920993077,-0.2823249642499998
ALE:IL_Control:3.0,0.6839667322418213,0.3005287247499999
ALE:IL_Control:4.0,-0.1698875723115048,0.0382912847500001
ALE:IL_TEOH_OAc:1.0,-3.384299830564455,0.6094240817500003
ALE:IL_TEOH_OAc:2.0,-6.207514335055853,0.5039160757499999
ALE:IL_TEA_HS:1.0,2.141045570359745,0.32738172075
ALE:IL_TEA_HS:2.0,0.9470115720362132,-0.2368595622499998
ALE:IL_Mixed:1.0,-5.4001383656382105,0.0634105427500002
ALE:IL_Mixed:2.0,-5.949451801697048,-0.5914470572499999
ALE:IL_PP5350:1.0,-5.755886892300005,-0.2561984372500001
ALE:IL_PP5350:2.0,-5.528751170631828,-0.0736145702499997
ALE:IL_T8:1.0,-6.35272181705365,-0.5676907932499999
ALE:IL_T8:2.0,-5.942100541033842,-0.0595133432499999
ALE:IL_T9:1.0,-4.6433284163317605,0.44216291575
ALE:IL_T9:2.0,-5.05325198039809,0.5783346567500001
ALE:IL_Control2:1.0,2.061715604102304,0.98522520775
ALE:IL_Control2:2.0,-1.2776783680964308,1.07008440875
ALE:IL_Glc+Ace:1.0,-6.795316049361485,0.30267256575
ALE:IL_Glc+Ace:2.0,-7.333387982413735,-0.2047839162499998
ALE:XyloseA1:1.0,2.269826772717504,3.47139742675
ALE:XyloseA1:2.0,2.4451905197055184,3.5008017727500005
ALE:XyloseA2:1.0,-3.925194225824381,3.5734035147500003
ALE:XyloseA2:2.0,-4.74558674570255,3.77188061375
ALE:XyloseA3:1.0,-3.2098775435715963,3.86434487175
ALE:XyloseA3:2.0,-3.1599380303520967,3.67448792875
ALE:XyloseA4:1.0,4.71224350960486,3.60777217475
ALE:XyloseA4:2.0,4.576476539153091,3.70252028875
Aromatic:Coumarate:1.0,-9.84221999597439,1.9140051110000005
Aromatic:Coumarate:2.0,-8.395904266827952,1.55242739
Aromatic:Coumarate:3.0,-6.497709058027775,1.3881404909999997
Aromatic:Coumarate+ferulate:1.0,-5.721512535638314,1.90052784
Aromatic:Coumarate+ferulate:2.0,-6.08145412253054,1.966459862
Aromatic:Coumarate+ferulate:3.0,-4.98967957561404,1.815640476
Aromatic:Ferulate:1.0,-5.293900605215103,3.227346824
Aromatic:Ferulate:2.0,-5.175160133856008,3.153490366
Aromatic:Ferulate:3.0,-6.477593835848953,3.115746263
Aromatic:Glucose:1.0,0.2724380554802769,-0.040583867
Aromatic:Glucose:2.0,-0.4559891488338601,-0.0930332530000002
Aromatic:Glucose:3.0,0.1835510939729271,0.1336171199999998
Bioreactor1:24h:1.0,-4.566317268978782,-0.3702444845000006
Bioreactor1:24h:2.0,4.566317268623627,0.3702444844999997
Bioreactor2:S_0min:1.0,-0.1587912636084427,-0.0785189863333331
Bioreactor2:S_15min:1.0,-2.9897961311172003,-0.1806020843333327
Bioreactor2:P1_15min:1.0,-2.5073146041228145,-0.3009320153333332
Bioreactor2:P3_15min:1.0,-2.014576753237722,-0.3335036273333331
Bioreactor2:P5_15min:1.0,-1.284265142363128,-0.1983588803333331
Bioreactor2:S_1h:1.0,-2.1287354716947307,-0.3135732353333331
Bioreactor2:S_3h:1.0,-2.5189030989557644,-0.1763728963333326
Bioreactor2:S_9h:1.0,-1.7812692043037988,-0.1888427753333328
Bioreactor2:S_25h:1.0,-2.533767204944501,-0.2378795093333332
Bioreactor2:P1_25h:1.0,-1.7541900992646309,-0.4530135843333331
Bioreactor2:P3_25h:1.0,-1.2430380504028975,-0.1083803403333334
Bioreactor2:P5_25h:1.0,-0.2484091335159199,-0.0422214903333326
Bioreactor2:S_0min:2.0,-0.0486779558682838,0.4204068156666665
Bioreactor2:S_15min:2.0,-2.8011378284336588,-0.4879024583333331
Bioreactor2:P1_15min:2.0,-1.4761661107477222,-0.927079500333333
Bioreactor2:P3_15min:2.0,-2.687183007667881,-0.138555123333333
Bioreactor2:P5_15min:2.0,-1.7855461985983687,-0.3166892093333331
Bioreactor2:S_1h:2.0,-2.7210118290500094,-0.810845720333333
Bioreactor2:S_3h:2.0,-1.5908175064465335,-0.4919598033333328
Bioreactor2:S_9h:2.0,-2.1109112168416675,-0.2684846063333328
Bioreactor2:S_25h:2.0,-2.078325985888433,-0.249091737333333
Bioreactor2:P1_25h:2.0,-1.0399504549439154,-0.6093262423333332
Bioreactor2:P3_25h:2.0,0.1993397661783492,-0.6552996423333335
Bioreactor2:P5_25h:2.0,0.4486447195083561,-0.2271187093333333
Bioreactor2:S_0min:3.0,0.2074692220515555,-0.3418878293333334
Bioreactor2:S_15min:3.0,-3.437931698196549,-0.4495265683333329
Bioreactor2:P1_15min:3.0,-2.330883847089702,-1.0515467263333331
Bioreactor2:P3_15min:3.0,-1.4885962374674822,-0.7151591243333328
