,ligA
Cr_1,-0.0064862794275348115
Cr_2,-0.010746924281809152
Cr_3,-0.014263737963208588
Cr_4,-0.00916316112907369
Cr_5,-0.013618506750687407
Cr_6,-0.018252460955904392
Fe_1,-0.0205017543540364
Fe_2,-0.04416584368115335
Fe_3,-0.056502410829367425
Fe_4,-0.05544891119003554
Fe_5,-0.04610842005125392
Fe_6,-0.04169620416146078
Cd_1,0.0010930428494275175
Cd_2,0.003162049234189833
Cd_3,0.004822605224564244
Cd_4,0.00459180988912908
Cd_5,0.00355787006089626
Cd_6,0.009645685051052741
Zn_1,0.03601024173390978
Zn_2,0.07419862845225669
Zn_3,0.11408320096864084
Zn_4,0.15733526397196007
Zn_5,0.18985899699668884
Zn_6,0.21273403889866213
Cu_1,-0.0055696200982279
Cu_2,-0.006784547210445842
Cu_3,-0.0065263336360366075
Cu_4,-0.005203278469994613
Cu_5,-0.0046070682485889365
Cu_6,0.002654039407987233
Pb_1,0.008585608354049087
Pb_2,0.01679932736152415
Pb_3,0.025522394162576442
Pb_4,0.0381905373017499
Pb_5,0.05520344998249066
Pb_6,0.06802467941689375
