,insA_3
Cr_1,-0.0052486235969939204
Cr_2,-0.007643699841467625
Cr_3,-0.008302760531404043
Cr_4,-0.00987243523673908
Cr_5,-0.01193519984501383
Cr_6,-0.01287948074295693
Fe_1,-0.01907562048346111
Fe_2,-0.04623158456645316
Fe_3,-0.04198727672263542
Fe_4,-0.02421102014530314
Fe_5,-0.005502584161839515
Fe_6,0.011817353636759773
Cd_1,0.011353004187188764
Cd_2,0.025547436991540277
Cd_3,0.032052277133171665
Cd_4,0.036910349979960434
Cd_5,0.033886984232206666
Cd_6,0.033058827769188434
Zn_1,0.0004891930339715742
Zn_2,0.004367827741046029
Zn_3,0.014530082527574697
Zn_4,0.03143504781856254
Zn_5,0.048778892162101684
Zn_6,0.0703794130944871
Cu_1,-0.005708978834855025
Cu_2,-0.013233513553543935
Cu_3,-0.01133259334323351
Cu_4,-0.005425664477211407
Cu_5,0.00425681510019456
Cu_6,0.018627020899306446
Pb_1,0.00534670968455504
Pb_2,0.01540541457221521
Pb_3,0.018395973198468103
Pb_4,0.025777720020680368
Pb_5,0.024959767271437002
Pb_6,0.03689490361705325
