,pdhR
Cr_1,-0.00259238036800147
Cr_2,-0.004228557137074709
Cr_3,0.0039892701675879015
Cr_4,0.00876799886632045
Cr_5,0.018347700556818176
Cr_6,0.02523324101103341
Fe_1,-0.01355920862751413
Fe_2,-0.03786652627940442
Fe_3,-0.057740932769605735
Fe_4,-0.07802615333015411
Fe_5,-0.08395205516542133
Fe_6,-0.0886076225282734
Cd_1,-0.001521074854859583
Cd_2,-0.0026973472808873022
Cd_3,-0.00023898850210040128
Cd_4,0.0031828595802392977
Cd_5,0.003055286948355798
Cd_6,0.007885707401203151
Zn_1,-0.008038018479309105
Zn_2,-0.00983696776947106
Zn_3,-0.009126497525964243
Zn_4,0.001524138256355744
Zn_5,0.00921072416868612
Zn_6,0.01946902988281388
Cu_1,-0.003472066313757997
Cu_2,-0.0012627197734365225
Cu_3,0.001047046191383741
Cu_4,0.004546935985401379
Cu_5,0.009464564518814724
Cu_6,0.0180031462888085
Pb_1,0.009067515904384591
Pb_2,0.019127309930960647
Pb_3,0.0318764878633697
Pb_4,0.03680051720566919
Pb_5,0.043107092736212896
Pb_6,0.040839206749135264
