,A,Fnr,NarL
R2,,0.1821469475857076,0.06842124701716545
xmin,,-7.8525940196,-3.0560450505
xmid,,-1.7438937200993232,-0.03485457201476764
xmax,,4.4171410107,2.4694155805999998
ystart,,5.068841084998095,0.5944241654471188
yend,,-10.541603072913784,7.565966778412777
aat__00m_00s__1,0.5698002208,-0.0825740115,0.0834143878
aat__00m_30s__1,0.9668107727,0.16485310350000001,0.0504933555
aat__01m_00s__1,0.8316486407,0.7752711503,0.031696480900000004
aat__02m_00s__1,0.2245473016,0.9066270852,-0.0029696078000000002
aat__05m_00s__1,-5.1575831536,0.95171602,-0.3118176763
aat__10m_00s__1,-9.2612175426,1.0192587317,-1.1250431231
aat__00m_00s__2,-1.0899735048,0.1234264677,0.0253800388
aat__00m_30s__2,-1.5128182579,0.4334180231,-0.0159687598
aat__01m_00s__2,-1.1437941683,0.7979562918,0.11729304230000001
aat__02m_00s__2,-2.3679034586,0.8964971719,-0.0645860458
aat__05m_00s__2,-7.413020058,0.9047534472000001,-0.4360385312
aat__10m_00s__2,-10.4366130163,0.9185125141,-0.7155510694
aat__00m_00s__3,0.5201732840000001,-0.040852456200000005,-0.10879442660000001
aat__00m_30s__3,0.15827449,0.2208704434,0.004012204
aat__01m_00s__3,0.9110268182000001,0.7920547098,0.1317350897
aat__02m_00s__3,-0.2693456816,0.8818752216,0.0470774695
aat__05m_00s__3,-5.4863571546,0.9825066807,-0.5255995358000001
aat__10m_00s__3,-9.364379704,0.9444446514,-0.9168248342
abx_mega__dmso-2__1,0.9040861454,0.0403637158,1.9154446272
abx_mega__ery_dmso__1,-2.3065618004,0.5459244040000001,-0.7280519322
abx_mega__nal_naoh__1,-0.1480657052,-0.6791990309,1.1947183288
abx_mega__dmso-5__1,3.5311169596000003,0.0078028844000000005,0.1780909309
abx_mega__rif_dmso__1,5.3133358162,-1.3129271236,1.2955909793
abx_mega__novo_h2o__1,-6.2011341283,0.20689053170000002,-1.6319055235
abx_mega__rach_dmso__1,8.3101366206,-0.045048951000000004,0.4734941154
abx_mega__metro_dmso__1,-2.7662878423,0.4656249649,-0.1664938681
abx_mega__dmso-6__1,5.7318684166,-0.3784852643,0.5350788069
abx_mega__chl_h2o__1,-3.3474060818,0.3019332691,-1.1516025581
abx_mega__cst_h2o__1,4.6664612686,0.0320312785,0.2589008747
abx_mega__tec_h2o__1,1.9407803524,-2.6112045671,0.6985329095
abx_mega__str_h2o__1,0.1476759013,0.2482154852,1.5091314717
abx_mega__ctx_h2o__1,-1.6454731875,0.0230880885,0.0599282165
abx_mega__nal_naoh__2,-2.9417397272,0.3075812793,-0.3923176547
abx_mega__phos_h2o__1,2.1314940565000002,-0.7038356709,-0.4271510985
abx_mega__dmso-5__2,3.436915103,-0.2244639849,0.2821523801
abx_mega__polmyx_h2o__1,-2.2800587968,0.32801548280000004,0.07094828710000001
abx_mega__h2o-8b__1,1.0212203819,-0.0363903054,0.19399510790000002
abx_mega__h2o-6__1,-1.1554986315,0.1539794799,0.0642121101
abx_mega__thio_dmso__1,4.7215683049,-0.315089026,-0.07041621590000001
abx_mega__phos_h2o__2,0.8174107401,-0.19593564700000002,0.2387249998
abx_mega__ctx_h2o__2,9.1815688374,0.1826918599,0.4765491027
abx_mega__lzd_dmso__1,-1.0158611291,0.6125076868,-0.9480551533
abx_mega__naoh-9__1,0.8742371932,0.518483773,0.3874315129
abx_mega__dox_dmso__1,-1.4007481303,0.6077452839,-0.30677911280000003
abx_mega__phos_ethanol__1,-0.0565025721,0.7489705412000001,0.45546757130000004
abx_mega__teix_dmso__1,13.0494803263,-1.2905505804000001,0.8811496315
abx_mega__dmso-10__1,2.1751001201,0.4743514224,0.5259159415
abx_mega__van_dmso__1,1.655036788,0.8302627999000001,-1.1704676525
abx_mega__ramo_h2o__1,4.8169272018000004,-0.8002749045,-0.1456506972
abx_mega__tec_h2o__2,7.9112452998,-1.6551107114999999,-0.0240085228
abx_mega__h2o-7__1,8.4269027281,0.21844817860000001,0.5443759374
abx_mega__cro_h2o__1,9.6028929121,0.0879280571,0.9783104235000001
abx_mega__tric_ethanol__1,5.8184109063000005,0.8900785727,0.7166860521
abx_mega__nor_naoh__1,-1.2230991587,-0.0313845657,-0.0818044565
