,msrA
Cr_1,-0.0007219134575390882
Cr_2,0.0027080718834305065
Cr_3,0.006688004395049036
Cr_4,0.01176136428632378
Cr_5,0.01350263163396943
Cr_6,0.027113930397368997
Fe_1,-0.02196366958932728
Fe_2,-0.07659434576821618
Fe_3,-0.14130008258232568
Fe_4,-0.22198735549758625
Fe_5,-0.286170467766472
Fe_6,-0.3324051926117464
Cd_1,-0.023167745837678708
Cd_2,-0.028964578401793076
Cd_3,-0.01879314871447088
Cd_4,0.009248624596470759
Cd_5,0.04098439721378696
Cd_6,0.0821484132746866
Zn_1,-0.04530648140503782
Zn_2,-0.047029368220457175
Zn_3,-0.003331792893098589
Zn_4,0.041959841574525744
Zn_5,0.013135330929483024
Zn_6,0.050797270897826416
Cu_1,0.006012470456409051
Cu_2,0.00787632586502103
Cu_3,0.012832688156965531
Cu_4,0.02034076311467725
Cu_5,0.0249672952734572
Cu_6,0.033083900574819615
Pb_1,0.005803741072179828
Pb_2,0.010017188617799022
Pb_3,0.017849385452113037
Pb_4,0.031053328732274794
Pb_5,0.04505813677620174
Pb_6,0.05840941183335545
