,ybjN
Cr_1,0.005977265413502735
Cr_2,0.013488499033404357
Cr_3,0.019600240898348126
Cr_4,0.0269674084395733
Cr_5,0.03371944812902568
Cr_6,0.03934250766335325
Fe_1,-0.004107550101020298
Fe_2,-0.014931118487478915
Fe_3,-0.02822860387365936
Fe_4,-0.04018039730519735
Fe_5,-0.04968709169802835
Fe_6,-0.05679561763478299
Cd_1,0.0024960849222366265
Cd_2,0.005620482259740761
Cd_3,0.007288073572291219
Cd_4,0.00786061257759666
Cd_5,0.005181560787869829
Cd_6,0.007692626079263866
Zn_1,-0.0027613759845399872
Zn_2,0.0045378088273900965
Zn_3,0.0223127556590623
Zn_4,0.04174039843131782
Zn_5,0.05871029539920127
Zn_6,0.07560078628680668
Cu_1,0.003958824146249444
Cu_2,0.004389902234725393
Cu_3,0.005491533949562913
Cu_4,0.0060912179497314214
Cu_5,0.006560642278719307
Cu_6,0.00811524041977426
Pb_1,0.00328344217970712
Pb_2,0.01021179178018093
Pb_3,0.021440689129460098
Pb_4,0.03601080684837202
Pb_5,0.052752425776193664
Pb_6,0.07086381242883663
