,rpoS
Cr_1,-0.00012465602849316516
Cr_2,-0.005932893010877215
Cr_3,-0.0020990107615325173
Cr_4,0.007101912217765011
Cr_5,0.008851471156211217
Cr_6,0.0007093135924513738
Fe_1,-0.028984381798786037
Fe_2,-0.05243352539447664
Fe_3,-0.05249569877783978
Fe_4,-0.056424985895000626
Fe_5,-0.05237115979323777
Fe_6,-0.045956561933651836
Cd_1,0.004628014583337363
Cd_2,0.005581615704998264
Cd_3,0.0047460639263994225
Cd_4,0.005238942218521404
Cd_5,-0.0006570165407482548
Cd_6,0.0072603471979706125
Zn_1,0.0004372606863423135
Zn_2,0.00226548439521668
Zn_3,0.01425777515246974
Zn_4,0.029335206139745443
Zn_5,0.03657796234614037
Zn_6,0.039211814534232683
Cu_1,0.0035326805803532835
Cu_2,0.010450747749574794
Cu_3,0.015101710225769619
Cu_4,0.019166604465885688
Cu_5,0.02187327771966651
Cu_6,0.022718469594895173
Pb_1,0.004249375495160261
Pb_2,0.013026506022901122
Pb_3,0.02046133562589203
Pb_4,0.02607778606011405
Pb_5,0.031285985597998965
Pb_6,0.03273414786672574
