,Value,list
TF,fur,
reg_genes,175,"['oppF' 'ompF' 'ygaQ' 'umpH' 'nagA' 'zinT' 'yrbL' 'feoC' 'ygaC' 'gmr'
 'cyoA' 'hybC' 'garR' 'purR' 'ftnA' 'yciO' 'fhuA' 'gltB' 'gltF' 'yagI'
 'hybD' 'fecC' 'sucD' 'yjbJ' 'ybaN' 'zapB' 'cyoC' 'grcA' 'sucB' 'stfQ'
 'nohQ' 'katG' 'ynfD' 'acnA' 'fecD' 'hybB' 'oppD' 'hybE' 'gpmA' 'uxuB'
 'nagB' 'mntP' 'feoA' 'aspC' 'gspO' 'rcnB' 'soxS' 'adk' 'hybF' 'yhhY'
 'map' 'ymgA' 'panM' 'fecB' 'emrD' 'fecE' 'garK' 'flhC' 'katE' 'ymgC'
 'fumB' 'nac' 'sucA' 'fur' 'feoB' 'metH' 'glnK' 'ygfK' 'oppA' 'yhaJ'
 'efeO' 'tonB' 'sdhB' 'yjhH' 'flhD' 'hybA' 'cyoE' 'amtB' 'recN' 'fnr'
 'ndh' 'ftnB' 'yjhI' 'sdhC' 'ompR' 'pepD' 'fhuF' 'oppB' 'hybO' 'glnD'
 'gltD' 'rcnA' 'zwf' 'sdhD' 'fumC' 'gnd' 'exbD' 'uxuA' 'yojI' 'mntH'
 'fdhE' 'rmuC' 'efeB' 'garL' 'tfaQ' 'sucC' 'cdh' 'rpoS' 'yoeA_2' 'ariR'
 'ycgZ' 'oppC' 'argF' 'adhP' 'garP' 'hmp' 'ssnA' 'nagC' 'hybG' 'soxR'
 'metJ' 'cyoB' 'gdhA' 'pyrC' 'sdhA' 'efeU_2' 'lpd' 'sdiA' 'sodA' 'cyoD'
 'exbB' 'yjiT']"
comp_genes,48,['bfr' 'pqqL' 'sodB' 'yoeG_1' 'ybiI']
both_genes,43,"['fhuC' 'fepB' 'sufA' 'entS' 'fecR' 'nrdF' 'entC' 'nrdH' 'sufE' 'ybiX'
 'entD' 'fepD' 'entH' 'fes' 'entB' 'ybdZ' 'fecI' 'fhuE' 'fiu' 'fepE'
 'yjjZ' 'entF' 'yddB' 'yoeA_1' 'sufD' 'yqjH' 'fepC' 'nrdI' 'ydiE' 'sufS'
 'fhuB' 'cirA' 'yddA' 'sufB' 'entA' 'yncE' 'entE' 'fepG' 'fepA' 'sufC'
 'fecA' 'fhuD' 'nrdE']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,102,
comp_ops,26,
both_ops,21,
