,rnk
Cr_1,0.00225884369314612
Cr_2,0.008612530115596215
Cr_3,0.016097733162818956
Cr_4,0.026077106368744937
Cr_5,0.035836687672276935
Cr_6,0.046140482651277535
Fe_1,-0.022241038025544856
Fe_2,-0.05011646714236235
Fe_3,-0.09379179602408777
Fe_4,-0.14538650058732078
Fe_5,-0.1925822853690428
Fe_6,-0.2397907399468288
Cd_1,0.028048907794980857
Cd_2,0.05580568129846451
Cd_3,0.0793435761372235
Cd_4,0.0984996464520694
Cd_5,0.11177286691775984
Cd_6,0.13040722200901506
Zn_1,-0.000741752988605017
Zn_2,-0.011072111337472485
Zn_3,0.0057768826872825856
Zn_4,0.031463540828492335
Zn_5,0.06576085212552875
Zn_6,0.09308072948075667
Cu_1,0.006186630928060965
Cu_2,0.012118021245451057
Cu_3,0.019991550608573126
Cu_4,0.024109832742205763
Cu_5,0.029735902332762795
Cu_6,0.03334527523977241
Pb_1,-0.00561985923733442
Pb_2,-0.005862528161475743
Pb_3,-0.0035948112429455147
Pb_4,0.002117423775789756
Pb_5,0.01207588832274573
Pb_6,0.02770542511285432
