,A,TrpR
R2,,0.29603843476668157
xmin,,-3.923043916
xmid,,
xmax,,1.809756259
ystart,,-12.216466086411492
yend,,2.9442550901842597
ecoli_00001,-0.1257175325,0.040181667000000004
ecoli_00002,0.1257175325,-0.040181667000000004
ecoli_00003,-0.22993825650000002,0.418652458
ecoli_00004,-1.2197999993,0.26018257300000003
ecoli_00005,0.4631779628,0.210869296
ecoli_00006,0.1670445964,0.285913089
ecoli_00007,-0.4880808448,0.07536453500000001
ecoli_00008,0.26718299560000003,-0.255881454
ecoli_00009,0.7702987851,0.257375572
ecoli_00010,0.6232486964,0.34672165800000004
ecoli_00011,-0.3412436112,0.639592696
ecoli_00012,-0.5294955439,0.623850215
ecoli_00014,-0.3305171723,0.327878702
ecoli_00015,-0.2743823161,0.48451881300000005
ecoli_00016,-0.45787064650000003,0.45557549900000005
ecoli_00017,0.27124566380000004,0.649959591
ecoli_00018,0.6410945903,0.545652553
ecoli_00019,-4.3950138404,-0.048299025
ecoli_00020,-4.0279740494,0.059689778000000006
ecoli_00021,-2.8570719091,0.18756160400000002
ecoli_00022,-2.7940844634,0.220839904
ecoli_00023,-4.6746468431,-0.22463059999999999
ecoli_00024,-4.737518252,-0.22557353300000002
ecoli_00025,-4.5960367525,0.031475926
ecoli_00026,-4.3836860461,0.013542778
ecoli_00027,-0.22027706560000002,0.154628386
ecoli_00028,-0.5187215190000001,0.070946651
ecoli_00029,-0.8893370936,-0.014120524
ecoli_00030,-1.2944548209,-0.031893141
ecoli_00031,-1.5807285265000002,0.015257352000000002
ecoli_00032,-1.4373273907000002,-0.01032019
ecoli_00033,2.2660533882,0.910239835
ecoli_00034,2.1817419942,1.182666528
ecoli_00035,1.2769061581,0.8114553760000001
ecoli_00036,1.5496314757,0.585486359
ecoli_00037,0.0561907004,0.938030113
ecoli_00038,-0.1950556535,0.7007338630000001
ecoli_00039,0.6898084332000001,0.46800888700000004
ecoli_00040,1.3659013199,0.386244633
ecoli_00041,2.0387836035,0.330977517
ecoli_00042,0.3212451388,0.37958164400000005
ecoli_00043,2.4779323904,0.116921676
ecoli_00044,2.2388843497,0.09532101500000001
ecoli_00045,2.8723135728,-0.120908307
ecoli_00046,2.8423029017,0.170506345
ecoli_00047,2.02702067,0.16322244800000002
ecoli_00048,1.6117490055,0.24412359100000003
ecoli_00049,0.052283112400000005,0.51857352
ecoli_00050,0.2892060067,0.830618583
ecoli_00051,0.08469076440000001,0.8620645
ecoli_00052,0.8278796807000001,0.656538664
ecoli_00053,0.6035925383,0.578630333
ecoli_00054,1.7026768111,-0.56316752
ecoli_00055,1.3488484789,-0.36197805600000005
ecoli_00056,-2.3422558895,0.7532736680000001
ecoli_00057,-2.9748850478,0.7515060090000001
ecoli_00058,-3.1031052376,1.331006045
ecoli_00059,-2.5997159364,1.386644645
ecoli_00060,-1.9547615113,1.098082124
ecoli_00061,-1.9676034150000001,1.063519283
ecoli_00062,-1.2923933435000001,1.009183962
ecoli_00063,-1.5428089472000002,0.697283572
ecoli_00064,-5.1254165361,-0.195305949
ecoli_00065,-5.4414714659,-0.13809825
ecoli_00066,-1.7086120625999999,-0.079911147
ecoli_00067,-1.5609100815999999,0.173272741
ecoli_00068,1.5103451722,0.784154988
ecoli_00070,-1.9083984173,-0.023178159
ecoli_00071,-2.2391658089,0.055210222
ecoli_00072,-1.1859579863,0.37417402
ecoli_00073,-0.1362474059,0.621318027
ecoli_00074,0.1283872549,0.5713419550000001
ecoli_00075,-12.041747276,-0.49187069800000005
ecoli_00077,-0.5562470153,0.374913178
ecoli_00078,-10.0300127169,-0.7743487520000001
ecoli_00079,0.7485893999000001,0.524242461
ecoli_00080,4.0226912461,0.614584628
ecoli_00081,-1.5287848321,0.131617963
ecoli_00082,-2.2189542912,1.168586111
ecoli_00083,-1.7074178118,0.8223115010000001
ecoli_00084,-1.0170078462,0.45849828000000004
ecoli_00085,-1.6856714734,0.774386431
ecoli_00086,1.8177101036,1.029517622
ecoli_00087,2.4565802286,0.980561085
ecoli_00088,-0.046940297000000006,0.30607363400000004
ecoli_00089,-0.0332542006,0.40530537200000005
ecoli_00090,0.3670741771,0.19223667900000002
ecoli_00091,0.8653329499,0.283008945
ecoli_00092,-2.1847885678,0.14145131700000002
ecoli_00093,-0.7866226814,0.20540448600000002
ecoli_00094,-1.304424238,0.81357744
ecoli_00095,-1.4557549104,0.50755903
ecoli_00096,-1.4395340671,0.279455455
ecoli_00097,-1.4217647164,0.257452839
ecoli_00098,-11.1182160692,-0.7152180290000001
ecoli_00099,-10.926143332,-0.994099488
ecoli_00100,-0.8477675109,0.694370206
ecoli_00101,0.48092554270000004,-0.8790320030000001
ecoli_00102,0.4335388189,-0.558094011
ecoli_00103,10.629868460099999,0.21103853
ecoli_00104,10.1878311072,0.511340415
ecoli_00105,-2.2231812192,0.10212093500000001
ecoli_00106,-1.2705079218,0.278101555
ecoli_00107,-2.0773688805,0.336571693
ecoli_00108,-0.2849937114,0.509606193
ecoli_00109,0.8520533052,0.991839848
ecoli_00110,-0.7399620932000001,0.365331581
ecoli_00111,-0.7196424018,0.286866342
ecoli_00112,-1.1614235119,0.428193562
ecoli_00113,-3.2958626884,0.847045932
ecoli_00114,-3.5829483481,0.502725913
ecoli_00115,-3.373032643,0.716704737
