,ycfQ
Cr_1,-0.007341429085224875
Cr_2,-0.018590319018311485
Cr_3,-0.01871923868489933
Cr_4,-0.013538780079076431
Cr_5,-0.014412902720295644
Cr_6,-0.014433535642789453
Fe_1,-0.020818416957266002
Fe_2,-0.03383295745529168
Fe_3,-0.04192258855317258
Fe_4,-0.04826473443236308
Fe_5,-0.042649877523826735
Fe_6,-0.0266752678932511
Cd_1,0.00020455632996971122
Cd_2,0.003533664515178481
Cd_3,0.007839498467430959
Cd_4,0.007992513976414956
Cd_5,-0.00012982090189636022
Cd_6,-0.0018750896023315773
Zn_1,-0.058632615986445064
Zn_2,-0.10558046042964264
Zn_3,-0.12255466635437492
Zn_4,-0.12279671581866855
Zn_5,-0.12895299704335306
Zn_6,-0.13369834073947667
Cu_1,0.0034805148589311385
Cu_2,0.002069577520694979
Cu_3,0.012542383294836095
Cu_4,0.017466516931037682
Cu_5,0.02224826395524488
Cu_6,0.028902681720208625
Pb_1,-0.0021044357289507717
Pb_2,0.003468750199188833
Pb_3,0.015635765794823637
Pb_4,0.020247557776597275
Pb_5,0.021874899347120728
Pb_6,0.02919825728155868
