,seqA
Cr_1,-0.0003692342776119137
Cr_2,0.0029871289864709
Cr_3,-0.0019351577172818009
Cr_4,-0.012971400981069216
Cr_5,-0.019620712865536682
Cr_6,-0.03433483260536045
Fe_1,-0.03203260978072433
Fe_2,-0.0791758587708016
Fe_3,-0.12782139990780506
Fe_4,-0.17565768644177998
Fe_5,-0.20848683831319
Fe_6,-0.2297577750243386
Cd_1,0.0043394865358186
Cd_2,0.009385905994718492
Cd_3,0.01341606803989688
Cd_4,0.01046203973667248
Cd_5,0.006118754225800387
Cd_6,0.006962526813898268
Zn_1,-0.02687028733035111
Zn_2,-0.05176229145499652
Zn_3,-0.043384313351489984
Zn_4,0.056584650070955526
Zn_5,0.15238342920133888
Zn_6,0.08924818132493485
Cu_1,0.008082612290567864
Cu_2,0.009947581244533408
Cu_3,0.011146265087371326
Cu_4,0.014079676592171287
Cu_5,0.02084905948083275
Cu_6,0.01968397895296812
Pb_1,0.004478352978580456
Pb_2,0.02467488903306461
Pb_3,0.05075151976669233
Pb_4,0.07300027612909006
Pb_5,0.08989273737186408
Pb_6,0.11529223763790172
