,ygiS
Cr_1,0.00470964647152111
Cr_2,0.00298534822088191
Cr_3,0.0073250200735273064
Cr_4,0.018196503465672555
Cr_5,0.02059584637570429
Cr_6,0.015356946318174525
Fe_1,-0.020072617291185788
Fe_2,-0.045261833664888895
Fe_3,-0.05297906903290273
Fe_4,-0.06908590189789085
Fe_5,-0.07968835273297682
Fe_6,-0.05608307210063305
Cd_1,0.00627503322693572
Cd_2,0.011865518822514305
Cd_3,0.0199813521197861
Cd_4,0.02303201659606736
Cd_5,0.025046885013003138
Cd_6,0.03395717719307257
Zn_1,-0.002682337493537789
Zn_2,-0.024264158194371614
Zn_3,-0.025500331234356927
Zn_4,-0.02533287720814156
Zn_5,-0.0048535384644251755
Zn_6,-6.169608844088672e-05
Cu_1,0.004079708290152909
Cu_2,0.0016436857065946775
Cu_3,0.011336329456679391
Cu_4,0.016788861409259108
Cu_5,0.020465044567073785
Cu_6,0.029360025326882037
Pb_1,-0.0010785742097532043
Pb_2,0.007179028375011741
Pb_3,0.021467081676893363
Pb_4,0.04204933319849582
Pb_5,0.04974986963947418
Pb_6,0.05054461520240781
