,yhdX
Cr_1,0.0026401424948387
Cr_2,0.007925448522746235
Cr_3,0.01713540868223129
Cr_4,0.017595206663017816
Cr_5,0.01624912023681255
Cr_6,0.02167489872122033
Fe_1,-0.0010368448760028565
Fe_2,-0.013297925991700404
Fe_3,-0.024241552560889248
Fe_4,-0.03584271305130828
Fe_5,-0.048134898645214384
Fe_6,-0.058387269715553164
Cd_1,0.014037629660379905
Cd_2,0.02199237524184773
Cd_3,0.02573479939178103
Cd_4,0.028330631341317324
Cd_5,0.023514710919446468
Cd_6,0.0283436240884416
Zn_1,-0.009757533603207495
Zn_2,-0.01848641393576638
Zn_3,-0.02009730111040413
Zn_4,-0.015391386412691353
Zn_5,-0.006095544205057661
Zn_6,0.008373973210177622
Cu_1,3.587309661162339e-05
Cu_2,-0.004210197948344214
Cu_3,-0.00417499130452061
Cu_4,-0.004608347092031622
Cu_5,-0.007125788823823369
Cu_6,-0.001767462870576603
Pb_1,0.003689905384113675
Pb_2,0.003395134942382365
Pb_3,0.005879794567691228
Pb_4,0.012639381123438242
Pb_5,0.014506665417358637
Pb_6,0.019205556937148604
