,-0.06649793753432955,-0.03989876252059772,-0.013299587506865898,0.013299587506865926,0.03989876252059775,0.06649793753432957,0.0930971125480614,0.11969628756179322,0.14629546257552506,0.17289463758925688,0.1994938126029887,0.22609298761672053,0.25269216263045235,0.2792913376441842,0.305890512657916,0.3324896876716478,0.35908886268537965,0.3856880376991115,0.4122872127128433,0.4388863877265752
thresh,-0.07979752504119546,0.07979752504119546,7,,,,,,,,,,,,,,,,,
unreg,1,30,1745,1492,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ppGpp,0,7,436,423,16,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Leu-tRNA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LeuO,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ppGpp and Leu-tRNA,0,0,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ppGpp and LeuO,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ppGpp, Leu-tRNA, and LeuO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
ppGpp_genes,[],['dtpB' 'ariR' 'mltD' 'ybgS' 'yghA' 'yddM' 'yfhL'],"['ybfA' 'hisP' 'fadD' 'chiQ' 'mntP' 'ftp' 'hisM' 'murR' 'ybhS' 'potI'
 'rpmE' 'cutA' 'ycaM' 'hisQ' 'hdeD' 'rsd' 'suhB' 'yafD' 'gadE' 'osmY'
 'hisJ' 'yafC' 'narU' 'argR' 'pepT' 'atpI' 'ygaM' 'blc' 'csrA' 'gfcC'
 'ybcI' 'ytfB' 'rluC' 'uraA' 'tyrP' 'hdfR' 'ynfD' 'yehE' 'qseB' 'ybhR'
 'ccmB' 'yiaC' 'yqaE' 'yhdH' 'yehL' 'yajC' 'plsX' 'ybhF' 'rutR' 'ykfB'
 'sufS' 'dgcJ' 'tufB' 'srmB' 'yaeI' 'gcvH' 'ggt' 'thrA' 'yegQ' 'puuD'
 'sra' 'dgcF' 'yjgH' 'rplT' 'yegR' 'lysP' 'ybjQ' 'glpA' 'patA' 'yihY'
 'gcvT' 'flhD' 'yceD' 'rluA' 'recF' 'yadV' 'prs' 'holD' 'mutM' 'relA'
 'purF' 'fliP' 'ftnB' 'rpmA' 'rnc' 'glnH' 'rlmC' 'dctA' 'rlmA' 'tabA'
 'glgS' 'raiA' 'wbbH' 'cspA' 'dgcM' 'yjiK' 'xylR' 'yhaJ' 'yegS' 'yfjW'
 'purE' 'yjiJ' 'adhP' 'cadA' 'ytfI' 'yegP' 'rimI' 'kdpC' 'gdhA' 'modF'
 'yhbO' 'rffC' 'insI-1' 'atpB' 'thiI' 'argO' 'dnaN' 'yphA' 'cspF' 'gcvP'
 'pyrB' 'dnaA' 'atoD' 'sufE' 'secE' 'tgt' 'yjjJ' 'ycjY' 'yfdF' 'recO'
 'mhpC' 'yfcZ' 'ybhG' 'bioA' 'yebV' 'mscK' 'yhiD' 'folK' 'aphA' 'yccJ'
 'artM' 'argI' 'csiD' 'rnt' 'cecR' 'fucU' 'yceA' 'mazG' 'yggE' 'wecB'
 'evgS' 'dtd' 'yjgL' 'tsx' 'ruvC' 'rpoA' 'miaB' 'hsdR' 'yjdF' 'yiiX'
 'rpsK' 'acnA' 'mazE' 'mioC' 'cedA' 'rimP' 'rpsD' 'yqeF' 'bipA' 'cheZ'
 'yadS' 'flhC' 'sufC' 'ygiV' 'dgt' 'dacC' 'argF' 'queA' 'yqeH' 'gadA'
 'nac' 'opgC' 'envY' 'sufB' 'pqiA' 'rlmH' 'yagN' 'ydgK' 'yejM' 'rpoD'
 'secY' 'mazF' 'rplQ' 'bcsE' 'rnd' 'insA-1' 'yhhA' 'lpxB' 'cfa' 'menD'
 'spy' 'yfcF' 'gltX' 'tsaB' 'mdfA' 'yjbR' 'sdaC' 'osmF' 'yfjF' 'qseC'
 'ybaP' 'mreD' 'ldtB' 'msrA' 'rof' 'priB' 'msyB' 'cysB' 'rimO' 'hcaT'
 'dnaG' 'sdaB' 'dauA' 'rlmI' 'cysQ' 'era' 'cvpA' 'waaQ' 'menH' 'hslO'
 'sbmC' 'yhdT' 'mglC' 'purT' 'ldtE' 'yebO' 'ygiQ' 'rlmN' 'rfbB' 'nrfA'
 'nikR' 'rplJ' 'yejK' 'rplC' 'rplU' 'speA' 'yihX' 'rapA' 'ytfL' 'mrdA'
 'rnhB' 'nhoA' 'ftsA' 'yfiP' 'argT' 'udk' 'otsB' 'fucR' 'yghD' 'yidD'
 'menE' 'uspC' 'yehW' 'ldtD' 'recX' 'ydiP' 'hpf' 'rsmB' 'rimJ' 'cdgI'
 'pgl' 'gadX' 'dhaR' 'tyrB' 'yceM' 'udp' 'rluB' 'ydcV' 'nrdH' 'yaiA'
 'yecF' 'dnaE' 'uspE' 'murJ' 'yedP' 'panF' 'smg' 'otsA' 'wecC' 'glsB'
 'mreC' 'wrbA' 'rpsN' 'pspF' 'yraQ' 'ybgA' 'yabI' 'rhaT' 'clpA' 'purR'
 'sufD' 'recQ' 'sufA' 'ydiV' 'nth' 'phoH' 'rnpA' 'yihI' 'gabP' 'yiiD'
 'lysO' 'tam' 'artQ' 'ymfJ' 'yidE' 'flgJ' 'dgoR' 'yjjU' 'yihD' 'glgP'
 'rpoE' 'yidC' 'znuC' 'pyrI' 'purL' 'purM' 'wzxC' 'glcF' 'rplM' 'argS'
 'ydcL' 'kch' 'dgcT' 'pheP' 'iraD' 'gpt' 'rpsJ' 'pabA' 'yfcC' 'yciA'
 'lhgO' 'rsmG' 'gabT' 'pyrR' 'yhcB' 'yhiI' 'grxB' 'waaG' 'slp' 'frr'
 'proY' 'yeaO' 'gsk' 'prfA' 'yjiR' 'mnmE' 'yeiS' 'kdpB' 'ybaT' 'rfbX'
 'aroM' 'rplL' 'rplA' 'glgA' 'dbpA' 'nudK' 'ftsK' 'yihG' 'yohC' 'nusG'
 'yhiN' 'tesA' 'yeaY' 'rpsA' 'yhjY' 'yccU' 'yhhM' 'rpsR' 'pyrF' 'yqeG'
 'yaeP' 'fadL' 'rbsC' 'yafT' 'yjdC' 'tolQ' 'emrD' 'csgD' 'rsmF' 'crp'
 'adeP' 'yjeM' 'ispD' 'purH' 'rlmF' 'csgG' 'putA' 'rplX' 'mnmG' 'nlpI'
 'ybjP' 'yhjV' 'setA' 'kup' 'ftsZ' 'yjbQ' 'ispU' 'yodB' 'uspG' 'yieF'
 'waaA' 'alkA' 'betB' 'rplD' 'argA' 'tcdA' 'ycjN' 'yfcJ' 'ybjL' 'nudB'
 'dksA' 'ydiZ' 'ftsQ' 'uup' 'rpsB' 'proV' 'ebgR' 'rplB' 'nusA' 'glnP'
 'btsS' 'prmA' 'purK' 'apt' 'rpsT' 'yicH']","['mdtI' 'rpsF' 'ymgA' 'sfmC' 'hisD' 'yajO' 'yibT' 'ynjE' 'aidB' 'glsA'
 'yebF' 'plaP' 'rpsM' 'ycbZ' 'aspS' 'yafW' 'ycaO' 'dusB' 'yehS' 'insA-6'
 'yehX' 'ytiD' 'gadW' 'uspB' 'cspD' 'ygdQ' 'yciH' 'gadB' 'mdtF' 'treA'
 'gabD' 'psiE' 'rplE' 'yehY' 'proW' 'csgF' 'yebQ' 'mltG' 'parE' 'pssA'
 'yagU' 'mrcA' 'rlmL' 'mnaT' 'dusC' 'lpxT' 'rplK' 'tsgA' 'ytiC' 'queD'
 'lpxK' 'rhlE' 'yjfY' 'thiQ' 'yhjC' 'cdsA' 'ansP' 'yhfZ' 'yhaH' 'marR'
 'ais' 'leuE' 'yhbE' 'mdtJ' 'rfbA' 'rplY' 'nudI' 'yhhN' 'sodC' 'ygcN'
 'iraP' 'ppsR' 'rplF' 'thiL' 'betI' 'cmk' 'purC' 'ybdK' 'hcaB' 'nrdE'
 'dps' 'pyrG' 'insA-7' 'ygjQ' 'fis' 'ydcK' 'narZ' 'proX' 'yafV' 'ybfE'
 'yiiQ' 'yqhH' 'epmA' 'pcnB' 'purB' 'curA' 'ycaD' 'rpsU' 'zupT' 'aroB'
 'yceH' 'thiB' 'yfdX' 'rsfS' 'dkgA' 'ybhP' 'allB' 'ybbC' 'thiP' 'ykgF'
 'bolA' 'opgH' 'uspA' 'ycfZ' 'rsxD' 'rmf' 'ygjR' 'prfB' 'rsxC' 'yiiS'
 'recT' 'rpmB' 'msbA' 'pyrD' 'rplR' 'dnaJ' 'yhcN' 'rseA' 'mrdB' 'yadK'
 'aroD' 'opgE' 'hcaE' 'tsf' 'osmB' 'plsB' 'hchA' 'clsB' 'lnt' 'xanP'
 'potA' 'rsxE' 'mdtE' 'efp' 'ydiY' 'ttcA' 'deaD' 'yhbW' 'osmC' 'ugpB'
 'dmlA' 'puuA' 'yniA' 'truB' 'ychF' 'talA' 'tadA' 'ymgC' 'mltF' 'rfbD'
 'rpsG' 'ybcV' 'prfC' 'yejL' 'yhfA' 'gntP' 'cysN' 'gltA' 'pth' 'glgX'
 'greA' 'sgrT' 'infB' 'trmD' 'rpsO' 'tdcA' 'yfgJ' 'ydfV' 'yicI' 'menA'
 'yccS' 'yjhI' 'hflD' 'upp' 'der' 'lysS' 'kefG' 'nrdI' 'pdeL' 'rlmG'
 'rimM' 'accB' 'yjbJ' 'obgE' 'glgB' 'tas' 'uspF' 'ydgI' 'gstA' 'pnp'
 'ycfH' 'betA' 'rplW' 'znuB' 'hlyE' 'intA' 'nlpC' 'accC' 'yqiK' 'rbsA'
 'mnmA' 'rpsH' 'codB' 'dnaC' 'rplS' 'yqjF' 'csgE' 'endA' 'yghU' 'yecJ'
 'tag' 'pspG' 'ybaQ' 'glgC' 'yeiG' 'yfdG' 'ampD' 'ghrB' 'amn' 'pitA'
 'ansA' 'ycdZ' 'yjbD' 'rarD' 'aceB' 'yjcE' 'yccF' 'lpxH' 'gadC' 'uspD'
 'rpsI' 'yojI' 'mepS' 'trpC' 'kbp' 'eutD' 'rplN' 'yheV' 'yeaQ' 'yhhX'
 'gluQ' 'lpxL' 'ppnN' 'yfaZ' 'rpmH' 'ycaN' 'rpsE' 'prmC' 'yfaA' 'yjgR'
 'satP' 'elaB' 'infA' 'rbbA' 'aceA' 'trmJ' 'nhaA' 'gspC' 'clcB' 'rfbC'
 'yfbU' 'insL-1' 'nupC' 'yciI' 'rplO' 'trmI' 'lpxP' 'ybgI' 'yeaH' 'nrdF'
 'sgbE' 'lepA' 'potB' 'rpsS' 'sgrR' 'rluD' 'mgtA' 'aroK' 'gntU' 'nlpA'
 'gstB' 'essD' 'fbaB' 'argC' 'insL-2' 'fpr' 'rsxG' 'yeaG' 'argB' 'yiaG'
 'ppnP' 'cmoA' 'sixA' 'rpsL' 'yhjD' 'ybiT' 'phr' 'yjjZ' 'appA' 'rssB'
 'yhcO' 'infC' 'smf' 'iaaA' 'kefB' 'rpsP' 'fadE' 'ybeL' 'fimB' 'ygeA'
 'rfaH' 'metN' 'yjfZ' 'argH' 'ycaP' 'lepB' 'pgeF' 'qorA' 'tusA' 'ybhN'
 'ydfO' 'mglA' 'yaeH' 'purD' 'yccT' 'ybaA' 'rplI' 'agp' 'trmA' 'asd'
 'yqcC' 'pphB' 'folA' 'cmoB' 'ybjS' 'rsxB' 'yjeI' 'truC' 'ymfA' 'ssuA'
 'ycgB' 'yedE' 'yhhJ' 'ndk' 'aroG' 'insL-3' 'aceK' 'ivy' 'pxpA' 'yoaC'
 'cbpA' 'rsxA' 'yddH' 'rayT' 'rseB' 'gsiA' 'hdeB' 'ychQ' 'prkB' 'ychH'
 'thrB' 'ghxP' 'xdhC' 'yahO' 'rseC' 'tktB' 'treF' 'trxA' 'dtpD' 'envR'
 'thrC' 'pxpB' 'yqgC' 'alx' 'gcvR' 'kptA' 'pstS' 'pyrC' 'rpoB' 'mcrA'
 'ssuB' 'hdhA' 'poxB' 'gsiC' 'pgaD' 'yagH' 'yjaZ' 'secG' 'waaH' 'hdeA'
 'metI' 'hmp' 'pyrL' 'potC' 'tsaC' 'cbpM' 'asnB' 'ysgA' 'fkpA' 'yidL'
 'ecnB' 'rpoS' 'yhhQ' 'yhjE' 'yhhY' 'ltaE' 'argE' 'katG' 'cysK' 'aroE'
 'yecT' 'gsiB' 'osmE']","['katE' 'pxpC' 'dadA' 'yeiL' 'serC' 'ykfI' 'speC' 'ycgZ' 'alaC' 'dadX'
 'pheS' 'ppc' 'metH' 'livJ' 'lrp' 'serA']",['gltD' 'gltB'],['ilvI' 'ilvH'],[],[],[],[],[],[],[],[],[],[],[],[],[]
