,A,LeuO
R2,,0.024383427642952094
xmin,,-4.4196053411000005
xmid,,1.68013048865346
xmax,,6.2131993495
ystart,,-1.0474128109914567
yend,,8.395693849906069
SRX1125282,-1.6848617998000002,0.2376217612
SRX1125283,-0.7159617254,-0.4475935707
SRX1125284,-0.5601080454,0.049052506700000005
SRX1125285,-0.0919765522,-0.11055621310000001
SRX1125286,-0.0612960475,-0.39440790270000003
SRX1125287,-0.8356611805,-1.0696616112
SRX1125288,1.8081536212,0.39966830670000003
SRX1125289,1.1610294019,0.4766952808
SRX1125290,0.9180956733000001,-0.14541263540000002
SRX1125291,0.9721720313000001,0.1175806171
SRX1125292,1.2472359951,-0.1376547742
SRX1125293,0.5194150302,0.11852473270000001
SRX1125294,-0.12329182150000001,-0.637290068
SRX1125295,-0.5366262174,0.09739260520000001
SRX1125296,0.1219484842,-0.0967050218
SRX1125297,-0.2992507595,0.0839299768
SRX1125298,-0.8059305472,-0.624269484
SRX1125299,-0.3314801792,-0.0018280288
SRX5694250,1.3519932974,-0.757674091
SRX5694251,-0.13568796900000002,0.0813403235
SRX5694252,-0.026718053000000002,-0.9154188647
SRX5694253,-0.1825590288,0.5218530711
SRX5694254,0.4279554327,1.9561967753
SRX5694255,0.7518761444000001,-0.7861002304
SRX5694256,-0.136508545,-0.9442647582
SRX5694257,0.5275214248,0.0754236036
SRX5694258,0.7629347651,-0.3612310257
SRX5694259,-1.4730143777,0.0470938486
SRX5694260,0.834890364,-0.33443500260000003
SRX5694261,1.7739170453000002,-2.5270650292
SRX5694262,-1.3545195528,-0.8495289037
SRX5694263,-1.4084903891,-0.9962856234
SRX5694264,-1.2149324789,-0.7812320642
SRX5694265,-2.1736332943,-1.6045786918
SRX5694267,0.3483841902,0.7609389526
SRX5694268,-1.6168105594000002,-1.1821225853
SRX5694269,0.5598081679,-0.3987644354
SRX5694271,-0.7938817777,-0.5345269636000001
SRX5694273,-1.5595267353,-1.5209886433
SRX5694274,-0.6911508211,-1.5404140152
SRX5694275,-1.2839365352,-2.4019082690999998
SRX5694276,0.5321816451,-0.11683609210000001
SRX5694277,0.9067774712000001,-0.2833316663
SRX5694278,2.3902199786000002,-0.7930616213
SRX5694279,-0.8408390458,0.0516245824
SRX5694280,1.271942026,-2.2534655751
SRX5694281,0.8372030572,-0.7708558355
SRX5694282,-0.9592304386,-2.3747683152
SRX5694283,1.7511882476,-1.2770902798
SRX5694284,-0.6512900761,-1.6652492157
SRX5694285,0.1834300617,-1.0698170686
SRX5694286,-0.6184387347,-1.4377952183
SRX5694287,2.2884874653000002,0.4862937356
SRX5694288,-0.8684763525,-0.6579640984
SRX5694289,-0.8678979528,-0.2327394391
SRX5694290,-1.1226052782,-1.0407820749
SRX5694291,0.717546749,-0.7519543754
SRX5694292,1.1043242196,-0.37203858430000003
SRX5694293,-1.0835333368,-0.5859407752
SRX5694294,0.1544910599,0.2640782067
SRX5694295,1.7957542734,1.005761129
SRX5694296,-0.1640991551,0.38604409640000004
SRX5694297,-0.5288852508,2.0446816321
SRX5694298,0.3351361667,-1.3369563518
SRX5694299,-1.5788136124,0.1112734257
SRX5694300,-2.3926993256999998,-1.041853632
SRX5694301,0.9317164494,-0.3105610266
SRX5694302,-0.2945464145,-1.5758074593
SRX5694303,-1.2737245723,-1.0411359979
SRX5694304,-1.3565165441,-1.0025622706
SRX5694305,0.45616021030000004,0.3176929508
SRX5694306,2.4390833016,-0.5880735449
SRX5694307,-2.6766694705000003,-1.6302635115
SRX5694308,-1.1629608447,-0.3594292673
SRX5694309,1.1423731166,-1.1051915828
SRX5694310,3.4766825260000003,-1.9568655989
SRX5694311,-1.9961299785,-0.1983431799
SRX5694312,-0.9422468863000001,-4.4196053411000005
SRX5694313,2.4942114515,2.633058084
SRX5694315,-1.0229975613,-1.2318072885
SRX5694317,1.798852927,0.8405135359
SRX5694319,-0.6872150865000001,-0.9366057116000001
SRX5694320,0.8221167349,-1.432732402
SRX5694321,0.8623735959000001,0.8576586175
SRX5694322,0.4957536731,-0.7930122932
SRX5694323,1.6242593185,0.72290559
SRX5694324,5.1757199099,1.2279681781
SRX5694325,1.0749155886,-1.5661016737
SRX5694326,0.08376496850000001,-0.4185582714
SRX5694327,2.9169754612,-1.5676935009
SRX5694328,-0.9069006954000001,-0.0487714961
SRX5694329,0.9428104508,1.7884541177000002
SRX5694330,1.7121010933,-0.9845132715
SRX5694331,-0.0877609947,0.2604580359
SRX5694332,-0.4511280747,0.45243917440000003
SRX5694334,-0.0796466831,-1.1135547025
SRX5694335,0.1164875625,2.0203927584
SRX5694336,-1.5966357641000002,-0.1313827898
SRX5694337,-0.7469611986,-1.5314969041
SRX5694338,-0.7103577756,-1.1636514126
SRX5694339,-1.0385874504000001,-0.3839272736
SRX5694340,1.259900752,-1.0337025156
SRX5694341,-2.6499311291,-1.4189959726999999
SRX5694342,-1.4818142652000001,1.3132365865
SRX5694343,-0.2120351615,1.4391242879
SRX5694344,-1.3707224754,1.0565932474
SRX5694345,-1.1724220113000001,-1.3973303430000001
SRX5694346,0.6529806455,0.8460614502
SRX5694347,-1.0158298142,-0.33967129100000004
SRX5694348,0.2680679519,-0.4267713184
SRX5694349,1.3919678841,-0.6872222815
SRX5694350,-2.0788567806,1.707563038
SRX5694351,1.4817188741,0.3302716377
SRX5694352,0.1711337319,-1.4492295752
SRX5694353,-1.5815582303,-0.35097432500000003
SRX5694354,0.1082683131,-0.66783857
SRX5694356,-2.2091572727,-0.9846488004
SRX5694357,-2.5975751146,1.0458998616
SRX5694358,2.3812950384000002,0.32859435270000004
SRX5694359,0.0320016458,-1.1821404698
SRX5694360,-1.0375614224,-1.9565082978000001
SRX5694361,1.2675966429,-3.0594573937
SRX5694362,1.5466346332,-4.4196053411000005
SRX5694363,1.0163491878,0.2018442899
SRX5694364,2.1508292662,0.3497882652
SRX5694365,1.0758117697,-0.3426867183
SRX5694366,-1.2194709316,-0.9142319557
SRX5694367,1.2875631433999999,-1.3451925743
SRX5694368,-0.5680972244,-1.2560358502
SRX5694369,-0.6673810553,-0.7872952359000001
SRX5694370,0.3066977419,-1.0578650652
SRX5694371,2.2489589242,-0.9781612627
SRX5694372,0.5551981413,-1.2963864696
SRX5694373,-0.36697830200000003,1.741367938
SRX5694374,0.18668441430000002,-2.1697461644000002
SRX5694375,0.2902732362,-1.1049743677
SRX5694376,0.678477882,-1.9671532024
SRX5694377,0.8395482901,-2.4717123378
SRX5694378,-0.5964992826000001,-1.880135439
SRX5694379,1.3354209459,-1.0091087088
SRX5694380,0.9269209027,1.0050398956
SRX5694381,-0.0923695903,0.146862436
SRX5694382,-0.4244333128,0.6484913432
SRX5694383,-0.11394502720000001,-1.6039639060000002
SRX5694384,-0.1237872141,-0.5277704013
SRX5694385,4.3409600017,-0.5319735978
SRX5694386,0.0183118704,-1.3127249778
SRX5694387,-1.5221473345,-1.2182891644
SRX5694388,5.5662483779,1.3118744452
SRX5694389,0.2739102145,-0.5547598856
SRX5694390,0.9922875814000001,-0.8644987081000001
SRX5694391,0.5792122075,0.2545507905
SRX5694392,0.7176650374,0.13316883940000002
SRX5694393,-0.48058238610000004,-0.1624664133
SRX5694394,0.6391518729,-0.5914085560000001
SRX5694395,-0.058974553400000004,-0.037773479000000006
SRX5694396,-0.5689596698,-0.2518964698
SRX5694397,0.3363400535,-1.5153848702000001
SRX5694398,0.35381199750000003,-1.2497192799
SRX5694399,0.8788371544,0.19253392930000002
SRX5694400,0.2360526273,-0.8069713684
SRX5694401,-0.1703798025,-0.3757255275
SRX5694402,-1.1217754122,-1.6246332066
SRX5694403,-0.3714980639,-1.7729263336
SRX5694404,-0.7627973039,-1.5219303796
SRX5694405,-0.7492991946,0.5983645442000001
SRX5694406,0.6223338836,-0.8322928933
SRX5694407,-1.9622497048,-0.6648511189
SRX5694408,-0.26214546110000003,-0.361225271
SRX5694409,1.8826105416,0.7203455195
SRX5694410,1.6881687973,-1.6949025907
SRX5694411,1.7038101948,-1.6304175752
SRX5694412,1.4353408173,-2.092121978
SRX5694413,3.3050312347,1.5581422973999999
SRX5694414,0.5668988759,0.6564258058
SRX5694415,0.5234966782,-0.5498792434
SRX5694416,0.0034031605000000003,-0.2180277564
SRX5694417,0.0746154545,-0.1030138245
SRX5694418,-1.761289132,-1.6663763661000002
SRX5694419,-1.2284097972,-0.0520426858
SRX5694420,-1.6417407676,0.2190284428
SRX5694421,-0.4997214501,-1.1209159577
SRX5694422,2.7057751644,0.8508873388
SRX5694423,-2.842739554,-1.6955001212
SRX5694424,2.1221615686,-1.9791719605
SRX5694425,0.2999800079,-0.9144095813
SRX5694426,-2.2093364804,-1.2369373993
SRX5694427,1.2003402475,-0.0780088972
SRX5694428,0.6081005097000001,-0.7371071393
SRX5694429,0.1073385719,-2.2523048185
SRX5694430,0.7028240433,-0.14419001380000002
SRX5694431,0.16103429700000002,0.74520186
SRX5694432,-1.1499779047,-2.1986455197
SRX5694433,2.8825128459,1.9033641434000002
