,Value,list
TF,rpoS,
reg_genes,303,"['astA' 'alkA' 'pqiA' 'fbaA' 'mtn' 'yaiC' 'bsmA' 'ddpB' 'ppx' 'hmp' 'alkB'
 'rsmG' 'ihfB' 'araG' 'pdhR' 'ydhX' 'ymgC' 'ygiC' 'dkgA' 'csgG' 'sucC'
 'crl_2' 'ompN' 'yafP' 'iraD' 'ydcV' 'speC' 'galK' 'rsd' 'dhaM' 'luxS'
 'mdtB' 'csgA' 'dhaR' 'rssB' 'csgD' 'sra' 'ilvY' 'murP' 'puuC' 'hchA'
 'proV' 'viaA' 'ompF' 'envC' 'galE' 'rpoE' 'ddpA' 'iceT' 'ada' 'gadB'
 'ycgZ' 'yffO' 'pykA' 'ddpC' 'ynfF' 'rseC' 'hyaA' 'gyrB' 'pqiB' 'gapA'
 'gpmM' 'adhE' 'ddpX' 'rssA' 'ydhY' 'ydhW' 'artP' 'csgF' 'galM' 'znuA'
 'yafN' 'cbpA' 'patD' 'glgA' 'tpiA' 'bolA' 'xthA' 'ydhT' 'galT' 'phoU'
 'mglC' 'proW' 'yihG' 'puuE' 'ppk' 'mnmG' 'evgS' 'dps' 'pcnB' 'ravA'
 'csgE' 'lsrC' 'puuR' 'nhaR' 'pgk' 'evgA' 'btuF' 'yjiY' 'yhiD' 'treF'
 'hdeA' 'ygiB' 'cbdA' 'phr' 'puuD' 'recF' 'pstA' 'lsrD' 'gadE' 'dnaN'
 'mdtA' 'appA' 'sgrT' 'yadS' 'ansP' 'hyaF' 'pstC' 'pfkA' 'uspB' 'lsrB'
 'sucA' 'narU' 'yjcC' 'gadX' 'yqiI' 'yggE' 'pstB' 'lsrF' 'gadW' 'folK'
 'hofM' 'cpxA' 'ynfG' 'lsrG' 'mglB' 'appY' 'murR' 'yhfG' 'speB' 'hyaE'
 'yciE' 'sohB' 'puuP' 'yabI' 'hyaD' 'yciZ' 'yddG' 'ydhU' 'gadC' 'pgi'
 'eno' 'frdC' 'pqiC' 'csrA' 'frdB' 'ydbD' 'setA' 'mglA' 'hyaC' 'asr'
 'fadL' 'xapB' 'ftsZ' 'ydcU' 'yhiM' 'hdeB' 'lsrA' 'gor' 'ddpF' 'hyaB'
 'mdtC' 'ftsA' 'fumC' 'rseB' 'yibQ' 'murQ' 'glgC' 'proX' 'ldcC' 'ytfK'
 'rhaS' 'puuA' 'actP' 'ymgA' 'astC' 'baeR' 'ftsQ' 'ariR' 'ynfH' 'frdA'
 'pabA' 'artM' 'acnA' 'yeiL' 'oxyR' 'ddpD' 'glk' 'cbdB' 'ybjP' 'astE'
 'astB' 'hdfR' 'tolC' 'frdD' 'yciT' 'aceE' 'ihfA' 'epd' 'nhaA' 'aidB'
 'rraA' 'mpl' 'gadA' 'glgS' 'araF' 'dhaK' 'rpoH' 'yqiH' 'dkgB' 'puuB'
 'pstS' 'rseA' 'gpmA' 'proP' 'yafO' 'ynfE' 'yqiG_2' 'acs' 'rhaR' 'cfa'
 'mdtE' 'dinB' 'dhaL' 'topA' 'artI' 'yciG' 'aceF' 'ybiI' 'dmsD' 'astD'
 'yjcH' 'pykF' 'glgP' 'ydcT' 'crr' 'mdtF' 'lpd' 'ydhV' 'artQ' 'yffP'
 'osmB' 'cbpM' 'cpxR' 'baeS' 'sucB' 'pfkB' 'mutS' 'htrE' 'sucD' 'pfo'
 'araH' 'fau']"
comp_genes,107,"['yliI' 'yfdC' 'bfr' 'yqjE' 'yqjK' 'yfiL' 'ygiW' 'yjiN' 'ycaP' 'yeaQ'
 'yeaG' 'ybhN' 'yjbJ' 'ybhP' 'ydhS' 'yahO' 'yohF' 'yedP' 'ggt' 'yqjG'
 'clsB' 'mcbR' 'ubiC' 'yqjD' 'yniA' 'ygdI' 'ydaM' 'ycgX' 'yhbO' 'ahr'
 'curA' 'ybdK' 'yegP' 'yeaH' 'yehE' 'ygaM' 'yegS' 'ydiZ' 'ybeL' 'ybaY'
 'yncG' 'ytjA' 'yebV' 'ycgB' 'ybgS' 'ycaC' 'ldtE' 'yphA' 'ybaA' 'ydeI'
 'yhcO' 'yebF' 'ybiO' 'yddH' 'yfcG' 'yjdN' 'ydcK' 'adhP' 'rclA' 'yahK'
 'psiF' 'ymgE' 'yqjC' 'amyA' 'yghA' 'yodD' 'yhjY']"
both_genes,40,"['yhjG' 'otsB' 'ecnB' 'gabT' 'patA' 'yehX' 'fic' 'treA' 'ydcS' 'sodC'
 'tam' 'yehW' 'gabP' 'wrbA' 'mlrA' 'poxB' 'otsA' 'yciF' 'gabD' 'csiD'
 'tktB' 'msyB' 'katE' 'yehY' 'osmF' 'talA' 'elaB' 'gmr' 'lhgO' 'fbaB'
 'osmC' 'yiaG' 'csiE' 'blc' 'osmE' 'ybgA' 'yccJ' 'ygaU' 'aldB' 'osmY']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,162,
comp_ops,91,
both_ops,30,
