,ileX
Cr_1,-0.00983658799928582
Cr_2,-0.005780467351085908
Cr_3,-0.004098641693239111
Cr_4,-0.003950989335190708
Cr_5,-0.021034641860762343
Cr_6,-0.034197497792443785
Fe_1,-0.015617460359016297
Fe_2,3.835280007436434e-05
Fe_3,0.055201584766559474
Fe_4,0.1231482509826605
Fe_5,0.20612951696705764
Fe_6,0.2870748390480242
Cd_1,0.0061864575051397966
Cd_2,0.02328541727984032
Cd_3,0.04107267761456149
Cd_4,0.05853456913409723
Cd_5,0.06914251917438251
Cd_6,0.08060606624802694
Zn_1,-0.046063808904587535
Zn_2,-0.14691278723518994
Zn_3,-0.20970846800645526
Zn_4,-0.19556542305534794
Zn_5,-0.13790925417130231
Zn_6,-0.061062386041008415
Cu_1,-0.0002769969003877165
Cu_2,-0.008296246740247714
Cu_3,-0.0068281586128217785
Cu_4,0.0027093987236341322
Cu_5,0.01150618006360182
Cu_6,0.01844442272195509
Pb_1,-0.00793440775231608
Pb_2,-0.005726115440808847
Pb_3,-0.006040761182013206
Pb_4,0.010014814329898885
Pb_5,0.0210379745014801
Pb_6,0.03302957764084813
