,-0.10389818924999998,-0.09400312360714284,-0.0841080579642857,-0.07421299232142857,-0.06431792667857143,-0.054422861035714296,-0.04452779539285716,-0.03463272975000002,-0.024737664107142884,-0.014842598464285747,-0.00494753282142861,0.004947532821428527,0.014842598464285664,0.0247376641071428,0.03463272974999994,0.044527795392857075,0.05442286103571421,0.06431792667857135,0.07421299232142849,0.08410805796428562
thresh,-0.06926545949999999,0.06926545949999999,1,,,,,,,,,,,,,,,,,
unreg,1,0,0,0,0,1,3,15,77,555,1870,1225,375,95,45,17,5,4,4,1
unreg_genes,['BSU_misc_RNA_1'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['phrC' 'yfjF' 'yrzT' 'yqkC'],['ykoA']
