,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A
0,LB__LBexp,2.645852441966667,1.8633472185106226,3.0,0.0,0.4994317251,1.0,3.8483741934999998,2.0,3.5897514073,,,,,,,,,,
1,LB__LBtran,9.781711521133333,2.228576456051581,3.0,3.0,12.3290406422,4.0,8.8240988269,5.0,8.1919950943,,,,,,,,,,
2,LB__LBstat,11.8454523072,0.42452805293987,3.0,6.0,11.3727474364,7.0,11.9693919027,8.0,12.1942175825,,,,,,,,,,
3,LB__LBGexp,1.1343047579,1.9650622123209074,3.0,9.0,-0.9753979233000001,10.0,2.9125753725,11.0,1.4657368245,,,,,,,,,,
4,LB__LBGtran,3.5976531016499997,1.75766896191328,2.0,12.0,4.8405127437,13.0,2.3547934596,,,,,,,,,,,,
5,LB__LBGstat,2.0367897488333333,2.0990593674791063,3.0,14.0,0.9491407064,15.0,0.7047638233,16.0,4.4564647168,,,,,,,,,,
6,Life Cycle__S0,3.6919905351666666,1.4458052891848543,3.0,17.0,3.1220620158,18.0,2.6180070231,19.0,5.3359025666,,,,,,,,,,
7,Life Cycle__S1,7.268057660433333,1.0433299870605954,3.0,20.0,6.6751187474,21.0,8.4727424251,22.0,6.6563118088,,,,,,,,,,
8,Life Cycle__S2,8.132126428333335,1.5742279708472615,3.0,23.0,7.4353482676,24.0,7.0265317226,25.0,9.9344992948,,,,,,,,,,
9,Life Cycle__S3,6.0999064589500005,1.6413379958009662,2.0,26.0,7.260507686,27.0,4.9393052319,,,,,,,,,,,,
10,Life Cycle__S4,10.5608010819,2.2429330810886454,3.0,28.0,8.3151861051,29.0,12.8010426123,30.0,10.5661745283,,,,,,,,,,
11,Life Cycle__S5,10.153637194766668,0.8973656130302144,3.0,31.0,9.3731041805,32.0,9.9536993274,33.0,11.1341080764,,,,,,,,,,
12,Life Cycle__S6,7.70391921285,2.565497947295726,8.0,34.0,10.4451270456,35.0,9.0864025933,36.0,12.0711009905,37.0,5.1126023333,38.0,6.8379541192,39.0,5.9626761359,40.0,5.1472022681,41.0,6.9682882168999996
13,Life Cycle__S7,7.408928452999999,0.6901630112585195,3.0,42.0,7.9515254986,43.0,6.6321437120999995,44.0,7.6431161483,,,,,,,,,,
14,Life Cycle__S8,7.03224868185,0.7735568081133911,2.0,45.0,6.4852614172,46.0,7.5792359465,,,,,,,,,,,,
15,Life Cycle__G135,-0.8042941853000001,2.770142181373363,2.0,47.0,-2.7630805066,48.0,1.154492136,,,,,,,,,,,,
16,Life Cycle__G150,-3.8665199425333334,1.4148771344378475,3.0,49.0,-3.4258923793,50.0,-2.7243863606,51.0,-5.4492810877,,,,,,,,,,
17,Life Cycle__G180,-1.7015229394333333,3.547836347715037,3.0,52.0,-3.4079784604,53.0,-4.0736866151,54.0,2.3770962572,,,,,,,,,,
18,Stress Time Course__C30,5.431146350100001,0.1895417059571961,2.0,55.0,5.2971201245,56.0,5.5651725757,,,,,,,,,,,,
19,Stress Time Course__C90,8.59824291475,2.6200091723646532,2.0,57.0,10.4508691673,58.0,6.7456166622,,,,,,,,,,,,
20,Biofilm__BI,9.23991483075,0.2660329253727969,2.0,59.0,9.0518011452,60.0,9.4280285163,,,,,,,,,,,,
21,Biofilm__BC,10.936711476525,2.144036331891319,4.0,61.0,11.9950065639,62.0,10.919172802,63.0,7.9537337975,64.0,12.8789327427,,,,,,,,
22,Biofilm__Sw,15.51859935355,0.7774917543959483,2.0,65.0,16.0683690454,66.0,14.9688296617,,,,,,,,,,,,
23,Life Cycle__BT,10.86769472135,0.016775646006526514,2.0,67.0,10.8795568944,68.0,10.8558325483,,,,,,,,,,,,
24,Life Cycle__B36,6.877652953349999,1.306899851814886,2.0,69.0,7.8017707009,70.0,5.9535352058,,,,,,,,,,,,
25,Life Cycle__B60,8.0164528518,0.08323587733275103,2.0,71.0,8.0753095051,72.0,7.9575961985,,,,,,,,,,,,
26,M9__M9exp,3.333329908391155e-11,0.5613579556749858,3.0,73.0,0.1305902507,74.0,-0.6151427353000001,75.0,0.4845524847,,,,,,,,,,
27,M9__M9tran,4.440514034566667,1.185474323849361,3.0,76.0,5.8024939968,77.0,3.8782982483,78.0,3.6407498586,,,,,,,,,,
28,M9__M9stat,4.9572787750666665,0.6224746885982826,3.0,79.0,4.2474090062,80.0,5.4098785016,81.0,5.2145488174,,,,,,,,,,
29,Supplement__M+G,4.118602678066667,1.7377579543791757,3.0,82.0,2.7328468287,83.0,3.5546738346,84.0,6.0682873709,,,,,,,,,,
30,Supplement__Glu,3.5201582871666663,0.43339419534684986,3.0,85.0,3.0908452813,86.0,3.5121080641,87.0,3.9575215161,,,,,,,,,,
31,Supplement__Fru,6.348867916933333,2.2698134130766623,3.0,88.0,7.7753658724,89.0,7.5397934631,90.0,3.7314444153,,,,,,,,,,
32,Supplement__Mal,5.6142290325,0.9631406332591638,3.0,91.0,6.614086507,92.0,5.5360272833,93.0,4.6925733072,,,,,,,,,,
33,Supplement__G+S,9.18818912975,1.2477439201891019,2.0,94.0,10.0704773169,95.0,8.3059009426,,,,,,,,,,,,
34,Supplement__Pyr,7.0808197568999995,1.44969466547542,3.0,96.0,5.581607655,97.0,8.4753187666,98.0,7.1855328491,,,,,,,,,,
35,Supplement__Gly,9.119787559533334,2.3184618558304195,3.0,99.0,6.5649074167,100.0,11.0898357227,101.0,9.7046195392,,,,,,,,,,
36,Supplement__Glucon,3.386819557166666,0.44217268351493516,3.0,102.0,3.6571236585999998,103.0,2.876542925,104.0,3.6267920879,,,,,,,,,,
37,Stressors__aero,3.0177924712333333,1.1820259319332287,3.0,105.0,3.3015244856,106.0,4.0321303439,107.0,1.7197225842,,,,,,,,,,
38,Stressors__nit,5.1900526796,1.3293004006391933,3.0,108.0,5.0195902349,109.0,6.5963616708,110.0,3.9542061331,,,,,,,,,,
39,Stressors__ferm,4.223548715066666,0.8631529824174811,3.0,111.0,3.4053349828,112.0,4.1397785303,113.0,5.1255326321,,,,,,,,,,
40,Glc Growth/Exhaust__T-5.40H,0.0527004474,,1.0,114.0,0.0527004474,,,,,,,,,,,,,,
41,Glc Growth/Exhaust__T-4.40H,3.1817295008,,1.0,115.0,3.1817295008,,,,,,,,,,,,,,
42,Glc Growth/Exhaust__T-3.40H,3.7126557066,,1.0,116.0,3.7126557066,,,,,,,,,,,,,,
43,Glc Growth/Exhaust__T-2.40H,3.535696438,,1.0,117.0,3.535696438,,,,,,,,,,,,,,
44,Glc Growth/Exhaust__T-1.40H,4.3099486722,,1.0,118.0,4.3099486722,,,,,,,,,,,,,,
45,Glc Growth/Exhaust__T-1.10H,5.6321919379,,1.0,119.0,5.6321919379,,,,,,,,,,,,,,
46,Glc Growth/Exhaust__T-0.40H,5.4079713041,,1.0,120.0,5.4079713041,,,,,,,,,,,,,,
47,Glc Growth/Exhaust__T0.0H,6.3911599927000005,,1.0,121.0,6.3911599927000005,,,,,,,,,,,,,,
48,Glc Growth/Exhaust__T0.30H,8.1465586893,,1.0,122.0,8.1465586893,,,,,,,,,,,,,,
49,Glc Growth/Exhaust__T1.0H,6.7372443639,,1.0,123.0,6.7372443639,,,,,,,,,,,,,,
50,Glc Growth/Exhaust__T1.30H,6.0677943777,,1.0,124.0,6.0677943777,,,,,,,,,,,,,,
51,Glc Growth/Exhaust__T2.0H,3.2166675803,,1.0,125.0,3.2166675803,,,,,,,,,,,,,,
52,Glc Growth/Exhaust__T2.30H,0.9061894011,,1.0,126.0,0.9061894011,,,,,,,,,,,,,,
53,Glc Growth/Exhaust__T3.0H,-0.19789520060000002,,1.0,127.0,-0.19789520060000002,,,,,,,,,,,,,,
54,Glc Growth/Exhaust__T3.30H,0.8926948533,,1.0,128.0,0.8926948533,,,,,,,,,,,,,,
55,Glc Growth/Exhaust__T4.0H,2.0080127706,,1.0,129.0,2.0080127706,,,,,,,,,,,,,,
56,Glc Growth/Exhaust__T5.0H,-2.1891407434,,1.0,130.0,-2.1891407434,,,,,,,,,,,,,,
57,Stressors__HPh,6.895425383966668,1.8035061258346108,3.0,131.0,5.3885550405,132.0,6.4040149139,133.0,8.8937061975,,,,,,,,,,
