,PSPTO_RS27980
SRX1828913,-0.029886269000000003
SRX1828914,-0.0640249484
SRX1828915,0.3290305283
SRX1828916,-0.3998153823
SRX1828917,-0.2991442593
SRX1828918,-0.7596695295
SRX3983989,0.9407506113
SRX3983990,0.8072072379
SRX3983993,-1.2298874069
SRX3983994,-1.8668423159
SRX3983995,0.8171136308
SRX3983996,-1.4809803538000001
SRX3983997,-1.8668423159
SRX3983998,-0.1103190421
SRX3983999,-0.090497161
SRX3984000,-0.9194348508
SRX3984001,-1.8668423159
SRX3984002,-1.8668423159
SRX3984003,-1.8668423159
SRX3984004,1.1891033692
SRX3984005,-0.088815718
SRX3984006,-1.4876233826
SRX3984007,-1.1114468248
SRX3984008,0.8497916266000001
SRX3984009,0.8906362760000001
SRX3984010,-1.4745685555999999
SRX3984011,1.3733011298
SRX3984012,0.7416507984
SRX3984013,-0.4482293472
SRX3984014,1.0752738657
SRX3984015,-0.9184248301
SRX3984016,1.9604081269
SRX3984017,-1.8668423159
SRX3984019,0.195934083
SRX3984020,-1.8668423159
SRX3984021,-1.8668423159
SRX3984022,-1.8668423159
SRX3984023,-0.0758992352
SRX3984024,0.4700635493
SRX3984025,0.0250083281
SRX3984026,0.6466385105
SRX3984027,0.4647176974
SRX3984028,-0.7537026648
SRX3984029,-1.0307009234
SRX3984031,-1.2898348465
SRX3984032,-1.8668423159
SRX3984034,-0.0032523836
SRX3984035,-1.8668423159
SRX3984036,-1.8668423159
SRX3984037,-1.8668423159
SRX3984038,-1.8668423159
SRX3984039,-1.8668423159
SRX3984040,0.1837389433
SRX3984041,-1.5522802908000002
SRX3984042,-1.8668423159
SRX3984043,-1.8668423159
SRX3984045,0.45253352820000003
SRX3984046,-0.1257743428
SRX3984047,-1.247457901
SRX3984048,-1.4885714556
SRX3984049,-0.2191199955
SRX3984050,-1.8668423159
SRX3984051,-1.8668423159
SRX3984052,0.0772416727
SRX3984056,-1.8668423159
SRX3984057,-1.8668423159
SRX3984058,-1.8668423159
SRX3984059,-0.4068329717
SRX3984061,0.5472410726
SRX3984062,1.0965227271
SRX3984063,0.011030867100000001
SRX3984064,1.2040923014
SRX3984065,0.20371237150000002
SRX3984066,0.9845480256
SRX3984067,1.6979656624000001
SRX3984068,0.8898187373
SRX3984069,-1.3350767571
SRX3984070,-1.8668423159
SRX3984071,-1.0641875083
SRX3984073,0.8351115358000001
SRX3984074,1.2141067237
SRX3984077,0.9201877548
SRX3984078,-0.16878364510000002
SRX3984079,-0.5903478607
SRX3984080,0.2049259616
SRX3984082,1.1860620182
SRX3984084,-1.8668423159
SRX6997963,-0.012194127
SRX6997964,0.0759089077
SRX6997965,1.0126413715
SRX6997967,0.2448312158
SRX6997968,0.08585762420000001
SRX6997969,0.21362342950000002
SRX6997971,-0.2326370888
SRX6997972,-0.39241415020000003
