,pepD
Cr_1,-0.006518902997517838
Cr_2,-0.016965150940941292
Cr_3,-0.024423312824159358
Cr_4,-0.023715289146977347
Cr_5,-0.01975461458977357
Cr_6,-0.02662604417032136
Fe_1,-0.01905337131526433
Fe_2,-0.05237491026769302
Fe_3,-0.08659109833430483
Fe_4,-0.12862243183165925
Fe_5,-0.1604901600787696
Fe_6,-0.18429689504919725
Cd_1,-0.003503697827053737
Cd_2,-0.007608695268352622
Cd_3,-0.008217140330603749
Cd_4,-0.0038292467015093572
Cd_5,-0.002040057221516923
Cd_6,-0.0015005908039776505
Zn_1,0.00403657567518575
Zn_2,0.004840172891738343
Zn_3,0.031145368894345712
Zn_4,0.07790769471949598
Zn_5,0.11914777658028305
Zn_6,0.14247865198419615
Cu_1,-0.002334913439946512
Cu_2,-0.0013270901070315565
Cu_3,-0.0058417545801875284
Cu_4,-0.011321475040195712
Cu_5,-0.02096420778806401
Cu_6,-0.028516147180283655
Pb_1,0.005792151084590871
Pb_2,0.011308548770805091
Pb_3,0.022576381510195767
Pb_4,0.04104659739959434
Pb_5,0.06358914163234483
Pb_6,0.07708616292149062
