,intB
Cr_1,0.016144822219418327
Cr_2,0.021854329019757538
Cr_3,0.07131557983091501
Cr_4,0.07602662327688907
Cr_5,0.11098893688020084
Cr_6,0.1044759166927524
Fe_1,-0.009365092513532278
Fe_2,-0.03547846175648179
Fe_3,-0.05424073980793672
Fe_4,-0.07806503390588412
Fe_5,-0.09204464804924
Fe_6,-0.09771123985467106
Cd_1,0.0032047626485188115
Cd_2,0.009009936837800173
Cd_3,0.00789598349594405
Cd_4,0.008274115947538213
Cd_5,0.010485749984797907
Cd_6,0.014600438168616472
Zn_1,-0.0020212820302816007
Zn_2,-0.003683459291742813
Zn_3,0.003066537954703013
Zn_4,0.008868903626644602
Zn_5,0.02412221754849261
Zn_6,0.03596848415386264
Cu_1,0.3781711805272315
Cu_2,-0.1141754519490289
Cu_3,-0.030271200010085358
Cu_4,-0.06532188872258908
Cu_5,0.6096732097194357
Cu_6,0.8121354923791084
Pb_1,0.0780254146988053
Pb_2,0.08247691464403399
Pb_3,0.14094204287453369
Pb_4,-0.12804552149504392
Pb_5,0.11435934902592157
Pb_6,0.010539531387354452
