,ydhQ
Cr_1,-0.005329611916277888
Cr_2,-0.010643579031953405
Cr_3,-0.017976590216523047
Cr_4,-0.014949826378196644
Cr_5,-0.004101155301955393
Cr_6,0.005079342255417883
Fe_1,-0.021654661477171967
Fe_2,-0.05446074273965479
Fe_3,-0.09665226373578936
Fe_4,-0.13632492073035554
Fe_5,-0.16963719890078446
Fe_6,-0.1997735628789398
Cd_1,0.004933491181523514
Cd_2,0.012818421759400336
Cd_3,0.02102396190902645
Cd_4,0.027431720157449282
Cd_5,0.028532194925368883
Cd_6,0.03250824473464993
Zn_1,-0.014545234703488303
Zn_2,-0.03252191023935184
Zn_3,-0.02688195255505613
Zn_4,-0.006293699498962492
Zn_5,0.008968506874355518
Zn_6,0.01864285411055943
Cu_1,0.004146031513455976
Cu_2,0.009376002404108252
Cu_3,0.012876122291065209
Cu_4,0.012698112314198836
Cu_5,0.0192558992933937
Cu_6,0.03144201912831725
Pb_1,0.005331782994179085
Pb_2,0.01790562594276245
Pb_3,0.033794573418008546
Pb_4,0.04611271284500899
Pb_5,0.0570858500840928
Pb_6,0.07349561894752378
