,pqiA
Cr_1,-0.002939465880869523
Cr_2,-0.0036944816817102407
Cr_3,-0.0019556298694628675
Cr_4,0.006910601372924521
Cr_5,0.013396305860468504
Cr_6,0.008102201294712237
Fe_1,-0.06896380149284785
Fe_2,-0.1090116059996818
Fe_3,-0.1315178921594991
Fe_4,-0.12527932174612866
Fe_5,-0.10897074883812223
Fe_6,-0.08969661926476348
Cd_1,0.0053190168771996725
Cd_2,0.005761851418154317
Cd_3,0.014294767850943194
Cd_4,0.021864233640071784
Cd_5,0.02305297514849757
Cd_6,0.025259033784986003
Zn_1,-0.006213149572868742
Zn_2,-0.002257935199834039
Zn_3,0.00414094242893967
Zn_4,0.019070961108209283
Zn_5,0.031040707124534123
Zn_6,0.035665497309096586
Cu_1,0.004521148442887599
Cu_2,0.009703065398340888
Cu_3,0.019083904334693327
Cu_4,0.02663951027960616
Cu_5,0.03920028271638668
Cu_6,0.05292173442201674
Pb_1,0.0029899233993839662
Pb_2,0.010043118743316998
Pb_3,0.026354102993662292
Pb_4,0.038785800203337766
Pb_5,0.05048291416979861
Pb_6,0.0621575457853595
