,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X,rep13_idx,rep13_X,rep14_idx,rep14_X
46,immunity_isolated__AvrRpt2_b2b3,-0.2549192749,0.6445830706575484,2.0,133.0,-0.7107083352,137.0,0.2008697854,,,,,,,,,,,,,,,,,,,,,,,,
47,immunity_isolated__AvrRpt2_RR,-0.011065705199999998,0.9196039854247277,2.0,149.0,-0.6613239193,151.0,0.6391925089,,,,,,,,,,,,,,,,,,,,,,,,
48,immunity_isolated__WT_WT_SA,-0.08332203513333332,0.6519282656283654,3.0,153.0,-0.4711325362,155.0,-0.4481767733,158.0,0.6693432041,,,,,,,,,,,,,,,,,,,,,,
49,immunity_isolated__WT_WT_chitin,0.0187878364,0.023600423081782607,2.0,154.0,0.0354758556,157.0,0.0020998172,,,,,,,,,,,,,,,,,,,,,,,,
50,immunity_isolated__WT_stp,0.2416313675,0.14319160852919038,2.0,171.0,0.3428831249,175.0,0.1403796101,,,,,,,,,,,,,,,,,,,,,,,,
51,immunity_isolated__AvrRpt2_stp,0.1529268994,0.04883566799070171,2.0,173.0,0.1183948674,177.0,0.1874589314,,,,,,,,,,,,,,,,,,,,,,,,
52,immunity_no_isolation__WT_WT_mock,4.625929269271485e-18,0.2053019053198919,3.0,178.0,-0.1470744611,182.0,0.23455182460000001,183.0,-0.0874773635,,,,,,,,,,,,,,,,,,,,,,
53,immunity_no_isolation__WT_WT_flg22,-0.09585544663333333,0.6257973586450821,3.0,179.0,-0.8169123379000001,180.0,0.2236845402,181.0,0.30566145780000004,,,,,,,,,,,,,,,,,,,,,,
54,immunity_time__mock_1hpi,-4.625929269271485e-18,0.18167266151878037,3.0,184.0,0.2086137418,185.0,-0.1234167111,186.0,-0.08519703070000001,,,,,,,,,,,,,,,,,,,,,,
55,immunity_time__flg22_1hpi,-0.0996002193,0.057383189403329204,3.0,187.0,-0.0445497118,188.0,-0.1590615286,189.0,-0.0951894175,,,,,,,,,,,,,,,,,,,,,,
56,immunity_time__mock_3hpi,-0.5378310271666668,0.27015768002335794,3.0,190.0,-0.3833640924,191.0,-0.380351592,192.0,-0.8497773971,,,,,,,,,,,,,,,,,,,,,,
57,immunity_time__flg22_3hpi,-0.2748990661,0.029038471034812417,3.0,193.0,-0.3084026052,194.0,-0.25697791600000003,195.0,-0.2593166771,,,,,,,,,,,,,,,,,,,,,,
58,immunity_time__mock_5hpi,-0.1467830662,0.0679685347426135,3.0,196.0,-0.2241180744,197.0,-0.1196997796,198.0,-0.0965313446,,,,,,,,,,,,,,,,,,,,,,
59,immunity_time__flg22_5hpi,-0.016782499633333333,0.09335634351901874,3.0,199.0,-0.1123829107,200.0,-0.0121196089,201.0,0.0741550207,,,,,,,,,,,,,,,,,,,,,,
