,b3423_2
control__wt_glc__1,6.299515545
control__wt_glc__2,6.3901072327
fur__wt_dpd__1,6.0968430019
fur__wt_dpd__2,6.1559574172
fur__wt_fe__1,5.9826863706
fur__wt_fe__2,6.1051805098
fur__delfur_dpd__1,5.9465954004
fur__delfur_dpd__2,5.9992706810000005
fur__delfur_fe2__1,6.4100463737
fur__delfur_fe2__2,6.1905440326
acid__wt_ph5__1,6.1962272101
acid__wt_ph5__2,6.0246339699
acid__delgadx_ph5__1,6.0926363228
acid__delgadx_ph5__2,6.2819639362
acid__delgadw_ph5__1,6.1821489646
acid__delgadw_ph5__2,6.1218031708
acid__delgade_ph5__1,6.0801875305
acid__delgade_ph5__2,6.2180214628
oxidative__wt_pq__1,5.482656494
oxidative__wt_pq__2,5.4388524543
oxidative__deloxyr_pq__1,6.2206883737
oxidative__deloxyr_pq__2,6.3334410169
oxidative__delsoxr_pq__1,5.6389006578
oxidative__delsoxr_pq__2,5.7026961781
oxidative__delsoxs_pq__1,5.7676788551
oxidative__delsoxs_pq__2,5.4033577256
nac_ntrc__wt_csn__1,6.4852828696
nac_ntrc__wt_csn__2,6.2649058716
nac_ntrc__wt_cytd__1,6.4764202916
nac_ntrc__wt_cytd__2,6.5485634751
nac_ntrc__wt_gln__1,6.4961492606
nac_ntrc__wt_gln__2,6.5911394812
nac_ntrc__bw_delnac_csn__1,6.230957828
nac_ntrc__bw_delnac_csn__2,6.73524047
nac_ntrc__bw_delnac_cytd__1,6.4878674188
nac_ntrc__bw_delnac_cytd__2,6.4159351432000005
nac_ntrc__bw_delnac_gln__1,6.5800565863
nac_ntrc__bw_delnac_gln__2,6.3931306349
nac_ntrc__bw_delnac_nh4__1,6.1640697786
nac_ntrc__bw_delnac_nh4__2,6.267522104
misc__wt_no_te__1,5.8679174552
misc__wt_no_te__2,5.8265840546
misc__bw_delcbl__1,6.4055425954
misc__bw_delcbl__2,6.1558272907
misc__bw_delfabr__1,6.3603917149
misc__bw_delfabr__2,6.1165603076
misc__bw_delfadr__1,6.3486151352
misc__bw_delfadr__2,6.116311197
misc__nitr_031__1,6.1607866664
