,yfdQ
Cr_1,0.0021383225675785447
Cr_2,0.00983057365110722
Cr_3,0.011286816954602564
Cr_4,0.01299508094291845
Cr_5,0.01646243068860227
Cr_6,0.01188076680354228
Fe_1,-0.006147067336889586
Fe_2,-0.01899464789487797
Fe_3,-0.03326814369150608
Fe_4,-0.05047597576272257
Fe_5,-0.06380205914437909
Fe_6,-0.07049527654543512
Cd_1,-7.809639362413843e-05
Cd_2,0.002738919851085598
Cd_3,0.005250518822511966
Cd_4,0.006451160461433115
Cd_5,0.004686757792569943
Cd_6,0.004304647506158629
Zn_1,-0.004883674964106464
Zn_2,-0.005622283781097572
Zn_3,0.0007743196025409268
Zn_4,0.0058477688695440285
Zn_5,0.010094527800462426
Zn_6,0.00925358148119021
Cu_1,0.0027416242448833773
Cu_2,0.003384655014922257
Cu_3,0.00866114358827097
Cu_4,0.011553975748314306
Cu_5,0.016116707787500753
Cu_6,0.023197955469521445
Pb_1,0.0014513709337313305
Pb_2,0.002195295731238482
Pb_3,-0.0005506735598406075
Pb_4,0.0017937371002515207
Pb_5,0.006775110464399864
Pb_6,0.01355658869757212
