,A,PaaX,Nac
R2,,0.3540332518811089,0.08450809776954582
xmin,,-3.5206762605,-9.2368842382
xmid,,,
xmax,,2.6837120975,8.2896436494
ystart,,-8.58956602934354,-5.250619840108053
yend,,7.82165965926571,5.556267523669388
aat__00m_00s__1,-0.8069513209,0.032786032300000004,-0.6087659503
aat__00m_30s__1,-0.1027641546,-0.0372251714,-0.7684377252
aat__01m_00s__1,-0.9014448889000001,0.0277331621,-0.2494753319
aat__02m_00s__1,-0.31393752680000003,0.047068344000000005,-0.8593663065
aat__05m_00s__1,0.038842601500000004,0.013836235,-0.8536481749
aat__10m_00s__1,1.2785389961,0.0427753768,-1.097633245
aat__00m_00s__2,1.073412394,0.2703698728,-0.0200765477
aat__00m_30s__2,0.2457824988,0.2283405803,-0.0977108352
aat__01m_00s__2,-0.4221883379,0.2328961024,-0.1616756424
aat__02m_00s__2,0.38418715540000004,-0.006190358,-0.6594998195
aat__05m_00s__2,0.997512049,0.3685364544,-1.1317581087
aat__10m_00s__2,1.5561067004,0.5070884766,-0.2891878228
aat__00m_00s__3,-0.2664610731,-0.3031559051,0.628842498
aat__00m_30s__3,-0.1438504227,0.0422180528,0.06683463960000001
aat__01m_00s__3,-0.2843777739,0.030644483000000004,-0.226549141
aat__02m_00s__3,1.0451301849,0.015234035600000001,-0.4197131606
aat__05m_00s__3,0.9610690598,0.3647463628,-0.5652445004000001
aat__10m_00s__3,1.1928551867000001,0.26950566930000003,-0.8309633404000001
abx_mega__dmso-2__1,0.7951830481000001,0.3957443586,0.8767780779000001
abx_mega__ery_dmso__1,0.3650498835,-0.8472884383,-2.2961125363
abx_mega__nal_naoh__1,0.3774975205,-1.0806629636,0.3561750124
abx_mega__dmso-5__1,-0.2398871621,-0.0771241652,0.1987336626
abx_mega__rif_dmso__1,-1.8719129000999999,0.0531058167,0.3604524203
abx_mega__novo_h2o__1,10.2323302536,-1.0631850771,-1.7901959572
abx_mega__rach_dmso__1,0.5607671780000001,0.08736319120000001,0.4318438408
abx_mega__metro_dmso__1,-1.7966671780999999,-0.17752986980000002,0.1992620209
abx_mega__dmso-6__1,-0.4004729923,-0.41522951080000003,-0.40245616040000004
abx_mega__chl_h2o__1,2.2184705758,-0.45591303050000004,-0.9546913059000001
abx_mega__cst_h2o__1,0.5867446353,0.4719679592,0.6961197038
abx_mega__tec_h2o__1,1.8581004129,-0.7139316192,0.1970671269
abx_mega__str_h2o__1,0.013367028900000001,-0.7325227667,-1.231428017
abx_mega__ctx_h2o__1,1.1285537413,0.4257754489,0.9644950045
