,ymgC
Cr_1,0.004204092943183492
Cr_2,0.009322229875875644
Cr_3,0.017298044184655033
Cr_4,0.02663503620292276
Cr_5,0.03407958206497272
Cr_6,0.03853108340438359
Fe_1,-0.02800411097716753
Fe_2,-0.054319674268242565
Fe_3,-0.07576427415415936
Fe_4,-0.10014947306500492
Fe_5,-0.12396681735737755
Fe_6,-0.13286603142443298
Cd_1,0.0026691114884099657
Cd_2,-0.0019836376057965105
Cd_3,0.000401543202833761
Cd_4,0.0013292806879914255
Cd_5,-0.0035931034789166744
Cd_6,0.0008507172091034174
Zn_1,-0.019252447411868802
Zn_2,-0.012089054973023115
Zn_3,0.02037867256900269
Zn_4,-0.012200331644595134
Zn_5,-0.02908482800905275
Zn_6,-0.019585252605970542
Cu_1,0.01580309338927751
Cu_2,0.03173320384797407
Cu_3,0.04867238822356891
Cu_4,0.057995562418437535
Cu_5,0.05515647771085873
Cu_6,0.050430152312018466
Pb_1,0.003206633003607347
Pb_2,0.011956636795026029
Pb_3,0.019222679303040256
Pb_4,0.024274928679369256
Pb_5,0.03203626546842644
Pb_6,0.0405183180672875
