,dusC
Cr_1,0.0017321369694532696
Cr_2,0.0055197796539846935
Cr_3,0.008340415759652652
Cr_4,0.009894915813718996
Cr_5,0.009971354579066631
Cr_6,0.009409310362301006
Fe_1,-0.0057618434754059
Fe_2,-0.002534671944156609
Fe_3,0.0016346476884923982
Fe_4,-0.005322133845198846
Fe_5,-0.008683049535275425
Fe_6,-0.011602052850100191
Cd_1,0.0016501926016841786
Cd_2,0.004637787434701772
Cd_3,0.00823078713604758
Cd_4,0.010175394151619816
Cd_5,0.009887499456941428
Cd_6,0.014936111006091785
Zn_1,-0.0057921641165045714
Zn_2,0.004018675649116921
Zn_3,0.020004747728147424
Zn_4,0.031687318908053666
Zn_5,0.04801387910764501
Zn_6,0.061706592227650285
Cu_1,-0.0024178921024751447
Cu_2,-0.006959547361531647
Cu_3,-0.008374693698463748
Cu_4,-0.005289640516183673
Cu_5,0.0004032446634804641
Cu_6,0.0030344963697121327
Pb_1,0.0032809885495695096
Pb_2,0.013661950643518309
Pb_3,0.016063460207995466
Pb_4,0.02595234125567346
Pb_5,0.036353922444805814
Pb_6,0.04825326013177223
