,yfdZ
Cr_1,0.001886770109392198
Cr_2,0.004015113997336601
Cr_3,0.006113430236859404
Cr_4,0.008360855465016245
Cr_5,0.011903414286853695
Cr_6,0.015362090097752641
Fe_1,0.0007998741343346244
Fe_2,-0.012395802229990274
Fe_3,-0.01766049555012551
Fe_4,-0.032371492986324954
Fe_5,-0.03446164987384145
Fe_6,-0.04252202415253183
Cd_1,0.0007766449709885167
Cd_2,0.004107918155099307
Cd_3,0.00809386878706335
Cd_4,0.010947034078352916
Cd_5,0.009927773299211184
Cd_6,0.017903821396273167
Zn_1,-0.005125789116993724
Zn_2,-0.0043830958332081935
Zn_3,-0.0018616385535022949
Zn_4,-0.0007448263824796911
Zn_5,-0.0010104356032675306
Zn_6,-0.002930729641594396
Cu_1,0.004065512259858589
Cu_2,0.007542598682577689
Cu_3,0.0090639170610943
Cu_4,0.013044865114346244
Cu_5,0.017834295892129374
Cu_6,0.020206699964631668
Pb_1,0.00597189939918813
Pb_2,0.013017043604313676
Pb_3,0.011727449302991228
Pb_4,0.013772384023543851
Pb_5,0.0281595416850975
Pb_6,0.032077783451051736
