,cysZ
Cr_1,-0.00140334546830669
Cr_2,-0.00010095261494001497
Cr_3,0.0031762733178723732
Cr_4,0.005856164017556342
Cr_5,0.008446772403474623
Cr_6,0.009018138819679448
Fe_1,0.011083674897676268
Fe_2,0.00808248976491981
Fe_3,0.003673987701691624
Fe_4,-0.002982058369549177
Fe_5,-0.0048248103171099855
Fe_6,-0.009187810095624782
Cd_1,-0.0023944706426271486
Cd_2,-0.006090336523983879
Cd_3,-0.012028163450114976
Cd_4,-0.015967354578974597
Cd_5,-0.020469810942913915
Cd_6,-0.020160568825010536
Zn_1,-0.005731414750049782
Zn_2,-0.01385196219949895
Zn_3,-0.02506835411170252
Zn_4,-0.03172536062102028
Zn_5,-0.03406680934191165
Zn_6,-0.033300999971707324
Cu_1,0.002416981879700997
Cu_2,0.006163033564477682
Cu_3,0.0033207752828574807
Cu_4,-0.0004626767227662958
Cu_5,-0.003574023014956464
Cu_6,-0.007381006512476525
Pb_1,-0.013162809988198977
Pb_2,-0.025407801763350883
Pb_3,-0.03344621050772068
Pb_4,-0.04008878063083176
Pb_5,-0.04431777604333802
Pb_6,-0.04343682100026515
