,lolB
Cr_1,-0.003579347308097257
Cr_2,-0.004003557323451412
Cr_3,-0.0032636681129774997
Cr_4,-0.0018715605172896907
Cr_5,-0.0020700087755983407
Cr_6,-0.004983370300307542
Fe_1,-0.009301269982690066
Fe_2,-0.03712294754121024
Fe_3,-0.06406357196998269
Fe_4,-0.0992516601870956
Fe_5,-0.12340005004249675
Fe_6,-0.14124526999189171
Cd_1,0.0004977982218551125
Cd_2,0.001027355122435362
Cd_3,0.00047597447898483757
Cd_4,0.0018423756541980703
Cd_5,-0.003168226697078429
Cd_6,-0.003014259197061273
Zn_1,0.00367964572833776
Zn_2,0.003531751328153293
Zn_3,0.014835761823485625
Zn_4,0.013156256709906005
Zn_5,0.025739716918446967
Zn_6,0.04071830209161045
Cu_1,-0.0040517842078426885
Cu_2,-0.00650791016929845
Cu_3,-0.008694339228331285
Cu_4,-0.00859243865016565
Cu_5,-0.00923520805129663
Cu_6,-0.008953605928192436
Pb_1,0.004390850204605857
Pb_2,0.013290868221741735
Pb_3,0.02005485763233713
Pb_4,0.021107932806304814
Pb_5,0.01679155387178782
Pb_6,0.020903371025498198
