,ydeV
Cr_1,0.0014859876442953207
Cr_2,0.004647224900715868
Cr_3,0.010946518320456695
Cr_4,0.020827217670990484
Cr_5,0.02283080500739228
Cr_6,0.028173720332953768
Fe_1,-0.013030284818243072
Fe_2,-0.02879530957690657
Fe_3,-0.04288088470248255
Fe_4,-0.0561675199237317
Fe_5,-0.06100732025421346
Fe_6,-0.06605193809640515
Cd_1,0.003935227340334807
Cd_2,0.007596016001098739
Cd_3,0.013943317145646944
Cd_4,0.018939362647426083
Cd_5,0.01707662257744792
Cd_6,0.01736520022749324
Zn_1,0.004485976671910261
Zn_2,0.006869248731131681
Zn_3,0.010291441948980422
Zn_4,0.009177755237204264
Zn_5,0.009167795298940986
Zn_6,0.009566113436089568
Cu_1,0.007464613232228548
Cu_2,0.014385350463102724
Cu_3,0.01862013077618849
Cu_4,0.022794635914766374
Cu_5,0.0278597700015316
Cu_6,0.029179113072875417
Pb_1,-0.0071669084604528
Pb_2,-0.011830570030833713
Pb_3,-0.002884656446809248
Pb_4,-0.002047813709874932
Pb_5,0.009572022225979254
Pb_6,0.020824085942955373
