,dcuS
Cr_1,0.008306175619923408
Cr_2,0.018051754035590215
Cr_3,0.026403889650916626
Cr_4,0.03321377766855072
Cr_5,0.03947073252708905
Cr_6,0.04648113527469317
Fe_1,-0.009303078187802492
Fe_2,-0.00897760408406649
Fe_3,0.009083861408891057
Fe_4,0.024400803155937043
Fe_5,0.03617314953935442
Fe_6,0.04987543459641868
Cd_1,0.00014012803019431422
Cd_2,-0.0020243845146091896
Cd_3,-0.004124504666635761
Cd_4,-0.0058268693351401155
Cd_5,-0.009506743379491336
Cd_6,-0.008275891067372415
Zn_1,-0.0037129104400369936
Zn_2,-0.007412561151097475
Zn_3,-0.00620502477819877
Zn_4,-0.0022176297813220392
Zn_5,0.0021348733401281715
Zn_6,0.008503817481342414
Cu_1,0.0010044526744870251
Cu_2,0.0030949494801336547
Cu_3,0.007986207031881937
Cu_4,0.013726726850280995
Cu_5,0.0214506125120259
Cu_6,0.03192704484990529
Pb_1,0.00530992433121309
Pb_2,0.011862008531855536
Pb_3,0.02112199532747722
Pb_4,0.027707698106688158
Pb_5,0.036683591243245536
Pb_6,0.05120349116165879
