,pspF
Cr_1,-0.0009704481204611766
Cr_2,0.0010240518152010679
Cr_3,0.0030761437487379674
Cr_4,0.00926937323986029
Cr_5,0.016811116102726162
Cr_6,0.023242770322780798
Fe_1,-0.007168788366807997
Fe_2,-0.010001661423173054
Fe_3,-0.010565760313508324
Fe_4,-0.008311452191511151
Fe_5,-0.0003759433058056051
Fe_6,0.011221151626301756
Cd_1,-0.004488363356706821
Cd_2,-0.003944962875727852
Cd_3,-0.00017280313837564324
Cd_4,0.003803934512184008
Cd_5,0.004804908486753289
Cd_6,0.010882704678670335
Zn_1,-0.0007627823155783072
Zn_2,0.012613484903791569
Zn_3,0.0382365778138548
Zn_4,0.06808344961806742
Zn_5,0.09733492406376608
Zn_6,0.12703205186601235
Cu_1,0.0014065348118731775
Cu_2,-0.0004193109691607391
Cu_3,0.0021643074700656946
Cu_4,0.005736275662084739
Cu_5,0.010669309172732445
Cu_6,0.013072876439963702
Pb_1,0.0012951080764366527
Pb_2,0.009029341289165051
Pb_3,0.016122831504262185
Pb_4,0.023649386442079083
Pb_5,0.03738443302633581
Pb_6,0.048089261532824806
