,sohB
Cr_1,0.0028828687632302496
Cr_2,0.0040575763740428395
Cr_3,0.005120910689480122
Cr_4,0.004799405610600902
Cr_5,0.0036339508797009453
Cr_6,-0.000633577143645758
Fe_1,-0.009340340331085564
Fe_2,-0.02854422999505515
Fe_3,-0.054666663935519055
Fe_4,-0.08539285476473893
Fe_5,-0.10741049054844252
Fe_6,-0.117925054920655
Cd_1,0.001275212383707162
Cd_2,0.0051203362254107045
Cd_3,0.009195976650215005
Cd_4,0.01485229428343745
Cd_5,0.01569569106534013
Cd_6,0.023197707122698117
Zn_1,-0.0004911404649957557
Zn_2,-0.00189477413820934
Zn_3,0.0007697655102271027
Zn_4,0.007111564467616723
Zn_5,0.011098686363532149
Zn_6,0.012710422662465236
Cu_1,0.001689740969880902
Cu_2,0.0036190260419686686
Cu_3,0.001903072870800266
Cu_4,-0.0018378612747335427
Cu_5,-0.003105347690237458
Cu_6,-0.0007735634678945838
Pb_1,-0.0076236802778290955
Pb_2,-0.010847409233814328
Pb_3,-0.006356722958101905
Pb_4,0.003807995354131121
Pb_5,0.01022172784754622
Pb_6,0.01563263227926271
