,ybiH
Cr_1,0.006359292575049377
Cr_2,0.019801117454476592
Cr_3,0.04023204051940687
Cr_4,0.0634329220740649
Cr_5,0.08641231876013235
Cr_6,0.1060981685744431
Fe_1,-0.01154431448191035
Fe_2,-0.03772642251065609
Fe_3,-0.07710753572325607
Fe_4,-0.12056874854653978
Fe_5,-0.16038261513927402
Fe_6,-0.1888263760625785
Cd_1,0.003809847586619689
Cd_2,0.004448839296364647
Cd_3,0.003017843290305769
Cd_4,0.0012832930148916838
Cd_5,-0.003495393916372492
Cd_6,-0.0017677323821605059
Zn_1,-0.00042091686150188043
Zn_2,-0.00290433595245767
Zn_3,-0.004006836270722679
Zn_4,-0.003573827168986628
Zn_5,-0.0032754132569117822
Zn_6,-0.0008902690262604924
Cu_1,0.006540238765154665
Cu_2,0.01187439745909844
Cu_3,0.016325760311795657
Cu_4,0.02058809022580038
Cu_5,0.02563058406139141
Cu_6,0.03603795393514051
Pb_1,0.007119357056109263
Pb_2,0.010769912893422816
Pb_3,0.02600455637285566
Pb_4,0.043178326080604484
Pb_5,0.061176838890422226
Pb_6,0.08131389916693542
