,bglA
Cr_1,0.003291402365481725
Cr_2,0.0031789105738951515
Cr_3,0.003972335370201145
Cr_4,-0.0051596837009697276
Cr_5,-0.009491669552833213
Cr_6,-0.013883671084981359
Fe_1,-0.009990521431705892
Fe_2,-0.035654334765563164
Fe_3,-0.05440867595153902
Fe_4,-0.07161617764012404
Fe_5,-0.08420707758359029
Fe_6,-0.09849626292020637
Cd_1,0.00023649780351329888
Cd_2,-6.013792058573231e-05
Cd_3,0.001812911603276061
Cd_4,0.0021366245536365825
Cd_5,0.0008711119304032543
Cd_6,0.0015164984495587475
Zn_1,0.0006249281317964701
Zn_2,0.002522117989706821
Zn_3,0.01296956161697714
Zn_4,0.03335596663611638
Zn_5,0.059936603464852474
Zn_6,0.08798841522828896
Cu_1,-0.0024133411561312675
Cu_2,-0.002033346373098595
Cu_3,-0.0005549760518938434
Cu_4,-0.004324259967428282
Cu_5,-0.01177871195466926
Cu_6,-0.013555068183452316
Pb_1,-0.00025896477823019224
Pb_2,-0.002129082644920313
Pb_3,-0.004545000953011091
Pb_4,-0.011368636963362698
Pb_5,-0.01696733611625036
Pb_6,-0.021625231276007267
