,eutB
Cr_1,-0.0021592824340220308
Cr_2,-0.010353453964835313
Cr_3,-0.009919699041162484
Cr_4,-0.0015876661299711473
Cr_5,-0.010573075239554136
Cr_6,-0.014417369712360285
Fe_1,-0.020746952100220383
Fe_2,-0.03707539666138998
Fe_3,-0.027400647474596026
Fe_4,-0.023814956015069798
Fe_5,-0.010784815009356664
Fe_6,0.006475997091748645
Cd_1,0.011312710976121043
Cd_2,0.027223269805480472
Cd_3,0.0519278482570743
Cd_4,0.07259384722905209
Cd_5,0.08000390512908061
Cd_6,0.0994076814031584
Zn_1,-0.11503915781797093
Zn_2,-0.11224842542945222
Zn_3,-0.006614447848935157
Zn_4,-0.017572360013814882
Zn_5,-0.12369509989923315
Zn_6,-0.11374885604969442
Cu_1,0.006794973477198369
Cu_2,0.017462348192301944
Cu_3,0.026500186745274323
Cu_4,0.03366196439829882
Cu_5,0.04463275349586733
Cu_6,0.05372226759892445
Pb_1,-2.815636842651891e-05
Pb_2,0.002760517502246486
Pb_3,0.014643035847191616
Pb_4,0.024545003863460656
Pb_5,0.036088530177431535
Pb_6,0.04416289393006262
