,Value,list
TF,fur,
reg_genes,175,"['mntH' 'efeO' 'hybB' 'yhaJ' 'hmp' 'fhuA' 'katG' 'cyoA' 'fnr' 'feoC'
 'gltF' 'map' 'ymgC' 'yojI' 'yagI' 'ygaC' 'yjhH' 'sucC' 'nac' 'fdhE'
 'rmuC' 'garR' 'nagB' 'recN' 'uxuA' 'fecE' 'sdhC' 'ompF' 'gltD' 'mntP'
 'yhhY' 'fumC' 'ndh' 'ssnA' 'ftnB' 'ycgZ' 'flhC' 'gspO' 'ymgA' 'soxS'
 'katE' 'ariR' 'ygaQ' 'cyoC' 'garP' 'acnA' 'emrD' 'argF' 'yciO' 'feoB'
 'grcA' 'cdh' 'uxuB' 'yrbL' 'hybA' 'aspC' 'fecC' 'gdhA' 'sdhB' 'garL'
 'sodA' 'yjbJ' 'glnD' 'umpH' 'fumB' 'yjhI' 'oppF' 'panM' 'metH' 'zapB'
 'zinT' 'fecB' 'nohQ' 'yoeA_2' 'glnK' 'oppC' 'rcnA' 'feoA' 'gmr' 'cyoB'
 'sdhD' 'oppB' 'ygfK' 'fhuF' 'flhD' 'gpmA' 'cyoD' 'efeB' 'tfaQ' 'sdhA'
 'oppA' 'efeU_2' 'gnd' 'ftnA' 'tonB' 'metJ' 'gltB' 'hybO' 'purR' 'adk'
 'pepD' 'rcnB' 'cyoE' 'ynfD' 'pyrC' 'amtB' 'rpoS' 'nagC' 'ompR' 'hybF'
 'hybD' 'exbD' 'oppD' 'lpd' 'fecD' 'nagA' 'ybaN' 'hybC' 'hybE' 'sucA'
 'yjiT' 'sucB' 'adhP' 'garK' 'stfQ' 'hybG' 'sucD' 'fur' 'zwf' 'exbB'
 'sdiA' 'soxR']"
comp_genes,48,['ybiI' 'bfr' 'yoeG_1' 'pqqL' 'sodB']
both_genes,43,"['yddA' 'fiu' 'fepB' 'yqjH' 'fecA' 'yncE' 'fepG' 'fhuE' 'fepE' 'sufD'
 'entA' 'entH' 'fes' 'fhuB' 'entF' 'fepA' 'nrdI' 'entC' 'fhuD' 'fecI'
 'ydiE' 'sufC' 'nrdF' 'sufE' 'ybiX' 'yjjZ' 'fhuC' 'nrdH' 'entD' 'sufB'
 'fecR' 'ybdZ' 'entE' 'nrdE' 'entS' 'cirA' 'fepC' 'entB' 'sufS' 'sufA'
 'fepD' 'yoeA_1' 'yddB']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,102,
comp_ops,26,
both_ops,21,
