,usg
Cr_1,-0.008950541388984606
Cr_2,-0.01619997460367242
Cr_3,-0.015908169538844594
Cr_4,-0.014703716816819644
Cr_5,-0.017098242434952716
Cr_6,-0.008541170012804144
Fe_1,-0.021541842577027345
Fe_2,-0.04805889037890128
Fe_3,-0.05675948827027676
Fe_4,-0.07441272061187745
Fe_5,-0.09986981324728313
Fe_6,-0.12242685748991615
Cd_1,0.002204608837466827
Cd_2,0.012150429331777977
Cd_3,0.01840371836674662
Cd_4,0.020451433577679503
Cd_5,0.018231575972494248
Cd_6,0.018452010100788008
Zn_1,-0.0005626296761086955
Zn_2,-0.007722417725066705
Zn_3,-0.021030723689298002
Zn_4,-0.030163966962491493
Zn_5,-0.03185683848014534
Zn_6,-0.03908834152419231
Cu_1,0.004570565828090753
Cu_2,0.013410121494889578
Cu_3,0.021440292783942463
Cu_4,0.033019400457590484
Cu_5,0.03628491705196847
Cu_6,0.03982435669472648
Pb_1,0.0147999424992918
Pb_2,0.024840710955455703
Pb_3,0.03330853659159718
Pb_4,0.05195816543745028
Pb_5,0.061374499702120285
Pb_6,0.0649710345117275
