,trmA
Cr_1,0.0019472394304280234
Cr_2,0.008857641566614064
Cr_3,0.017134527611242456
Cr_4,0.024114270323263184
Cr_5,0.02806076299424597
Cr_6,0.0274324285541542
Fe_1,0.004086144177738566
Fe_2,0.029191019372645493
Fe_3,0.06700124118241252
Fe_4,0.08796024822890049
Fe_5,0.11364376419117825
Fe_6,0.13541045001040555
Cd_1,0.002086531956679594
Cd_2,0.006714663933702914
Cd_3,0.010689550918255405
Cd_4,0.01157103951319242
Cd_5,0.010443598542679402
Cd_6,0.014127857487090485
Zn_1,-0.0061784483194776965
Zn_2,-0.008990129040740367
Zn_3,-0.0012925317893918368
Zn_4,0.008209826705245579
Zn_5,0.009901381645385636
Zn_6,0.007918111663649328
Cu_1,0.0015376909769397485
Cu_2,0.003572423228927925
Cu_3,0.011669870617160152
Cu_4,0.020319085291612072
Cu_5,0.027247459548005563
Cu_6,0.037470161500774236
Pb_1,0.010269047788490285
Pb_2,0.014965502580650282
Pb_3,0.019474843297952682
Pb_4,0.02691324026661488
Pb_5,0.03646189249825257
Pb_6,0.04549537375656335
