,ybiJ
Cr_1,0.013213077930865371
Cr_2,0.02167472214744548
Cr_3,0.03126066362392844
Cr_4,0.03618554916586909
Cr_5,0.040122151413188936
Cr_6,0.04111175548651872
Fe_1,-0.011251308560858236
Fe_2,-0.026900556356532955
Fe_3,-0.04369950974323256
Fe_4,-0.056897757972428416
Fe_5,-0.06673635456854186
Fe_6,-0.07139900527837012
Cd_1,0.0008220555631620742
Cd_2,-0.000275479927844743
Cd_3,-0.001866664217919345
Cd_4,-0.002620937528742882
Cd_5,-0.011015295410780192
Cd_6,-0.021861522346503445
Zn_1,0.0011453398553091453
Zn_2,0.0003661490975882236
Zn_3,0.0006639869280078552
Zn_4,0.0065023110406048825
Zn_5,0.016084270411317443
Zn_6,0.02625341710705311
Cu_1,0.0033716766313554012
Cu_2,0.003775986514466321
Cu_3,0.0024336312822499546
Cu_4,-0.0027038623315501827
Cu_5,-0.008275332173503154
Cu_6,-0.014854225433338147
Pb_1,0.0030966964571757048
Pb_2,0.004286910007379279
Pb_3,0.007169877478899339
Pb_4,0.011829972710364121
Pb_5,0.016990822971139168
Pb_6,0.02480246926058613
