,yccE
Cr_1,0.0023372910370947123
Cr_2,0.006730264944332817
Cr_3,0.015226149155988897
Cr_4,0.023483209348608602
Cr_5,0.031760728745007814
Cr_6,0.031199665836816062
Fe_1,-0.007553228851457603
Fe_2,-0.023935453666687024
Fe_3,-0.03841434549395667
Fe_4,-0.0613063273054132
Fe_5,-0.07434937892269793
Fe_6,-0.08305713040196203
Cd_1,-0.00013339145492048218
Cd_2,0.006735329288568518
Cd_3,0.013729323305286038
Cd_4,0.020672746499655968
Cd_5,0.024609372897259056
Cd_6,0.02933739868684597
Zn_1,-0.040193988348941966
Zn_2,-0.07702953839876814
Zn_3,-0.1185443367155024
Zn_4,-0.13727234105954286
Zn_5,-0.1540240447918972
Zn_6,-0.15481876939133052
Cu_1,-0.00013844882071082216
Cu_2,0.004170007862082772
Cu_3,0.013093235366822695
Cu_4,0.02160324743507236
Cu_5,0.032165324348609955
Cu_6,0.04668046914974645
Pb_1,0.014069118820648931
Pb_2,0.029230333310026238
Pb_3,0.03462469022425271
Pb_4,0.036770125195258636
Pb_5,0.041634292477418434
Pb_6,0.055574937345972665
