,rsuA
Cr_1,-0.004890149643678725
Cr_2,-0.006488620729623363
Cr_3,-0.007877472285722163
Cr_4,-0.006671942830177595
Cr_5,-0.0051259124484461715
Cr_6,-0.00418461180852055
Fe_1,-0.00710538053483117
Fe_2,-0.017354735582220768
Fe_3,-0.026734146195815017
Fe_4,-0.04014564740374496
Fe_5,-0.047451333914878345
Fe_6,-0.05339931779984612
Cd_1,0.0020604409817776524
Cd_2,0.006076561524850644
Cd_3,0.009176691348664563
Cd_4,0.01179793803471882
Cd_5,0.010680682550546309
Cd_6,0.014584984313061034
Zn_1,-0.0031933551636545068
Zn_2,0.0003585822590327453
Zn_3,0.010736010176784015
Zn_4,0.028942919216439114
Zn_5,0.04517428444831347
Zn_6,0.060060595723475926
Cu_1,0.000677811930633423
Cu_2,0.006885565785277268
Cu_3,0.0114340788834913
Cu_4,0.015276572797871375
Cu_5,0.024510896154695733
Cu_6,0.036782184705773616
Pb_1,0.004066377285566089
Pb_2,0.01098962845338754
Pb_3,0.018242805747733248
Pb_4,0.02367755355817309
Pb_5,0.026328603114706268
Pb_6,0.03195125803850953
