,menG
Cr_1,0.003930554137458244
Cr_2,0.011654528349784176
Cr_3,0.014423534913884713
Cr_4,0.019998331938159305
Cr_5,0.01696029146294316
Cr_6,0.016843644282842817
Fe_1,0.009936416072267494
Fe_2,0.0274348297885768
Fe_3,0.006977243333660639
Fe_4,-0.038804093516301964
Fe_5,-0.12698038915650273
Fe_6,-0.17249023013464473
Cd_1,0.005231882787741912
Cd_2,0.011644360962573841
Cd_3,0.022653417405836245
Cd_4,0.03001649419666867
Cd_5,0.03928018512552537
Cd_6,0.04182255077437082
Zn_1,-0.0029770952797713193
Zn_2,0.011550889749529263
Zn_3,0.016855515683124482
Zn_4,0.022728069994007543
Zn_5,-0.0019391267798864718
Zn_6,-0.015702352274843016
Cu_1,0.02306085353499036
Cu_2,0.01054776215533742
Cu_3,0.02907486304319795
Cu_4,0.08771180294818556
Cu_5,0.12508435402715948
Cu_6,0.16028904876689587
Pb_1,-0.0113432068900278
Pb_2,-0.015583318213062806
Pb_3,-0.02160682661185393
Pb_4,-0.03955204851385991
Pb_5,-0.05199061301471766
Pb_6,-0.045694989299144735
