,minC
Cr_1,-0.002663496359920389
Cr_2,-0.00681397920855948
Cr_3,-0.010326730095211442
Cr_4,-0.014845447861825912
Cr_5,-0.01805415417849337
Cr_6,-0.01944463892272604
Fe_1,-0.0014022043857255385
Fe_2,-0.003275019610481858
Fe_3,-0.0018092336726862085
Fe_4,-9.79238624688086e-05
Fe_5,0.0025027781555128736
Fe_6,0.0032497423980159183
Cd_1,0.004886861424686439
Cd_2,0.008035947439077954
Cd_3,0.010332654455652596
Cd_4,0.01298958291403959
Cd_5,0.01178438407462782
Cd_6,0.013914778646487309
Zn_1,-0.003669925947960457
Zn_2,-0.00692055056198892
Zn_3,-0.003514111960606016
Zn_4,0.0022699014744242546
Zn_5,0.006437195051856411
Zn_6,0.00834851640606808
Cu_1,0.004830359951449488
Cu_2,0.01092303995502108
Cu_3,0.018651389029693148
Cu_4,0.024662278611103337
Cu_5,0.0309743935970216
Cu_6,0.03645930792485167
Pb_1,0.002600703951025958
Pb_2,0.007794049445914082
Pb_3,0.012179556369963698
Pb_4,0.01847966698369437
Pb_5,0.02669142925488277
Pb_6,0.03804393264349559
