,abrB
Cr_1,0.010336771739848826
Cr_2,0.021457094517840624
Cr_3,0.04250148698506888
Cr_4,0.06352186078591658
Cr_5,0.07555084883365852
Cr_6,0.0806128549894291
Fe_1,-0.014988457096375715
Fe_2,-0.034660810412825115
Fe_3,-0.05716121764533703
Fe_4,-0.07756854048623213
Fe_5,-0.09377221195173392
Fe_6,-0.10085523576690912
Cd_1,0.009905825187065209
Cd_2,0.027364150856821288
Cd_3,0.04330115489029555
Cd_4,0.06159382895391095
Cd_5,0.07327612292674411
Cd_6,0.09324391635961587
Zn_1,-0.022751132652456336
Zn_2,-0.024580427201382662
Zn_3,-0.0063396361086688465
Zn_4,0.01652966540682358
Zn_5,-0.01241463412073526
Zn_6,-0.0483979506209049
Cu_1,0.002123922033708677
Cu_2,0.014078502485016959
Cu_3,0.02372250612652284
Cu_4,0.029742292997507882
Cu_5,0.03824588055245129
Cu_6,0.044780323156542665
Pb_1,0.00320541796274491
Pb_2,0.013991794178770549
Pb_3,0.020378949169687462
Pb_4,0.021859188668022073
Pb_5,0.02485263426817436
Pb_6,0.03011334728292877
