,yibF
Cr_1,0.004046331282039043
Cr_2,0.0052589004494169546
Cr_3,0.0105171323016499
Cr_4,0.023535720289998764
Cr_5,0.0405198576903417
Cr_6,0.07201458779551967
Fe_1,-0.02183137688497339
Fe_2,-0.045150050450171585
Fe_3,-0.05586813533451377
Fe_4,-0.09695312837032546
Fe_5,-0.1853649051942125
Fe_6,-0.24920668525844444
Cd_1,0.00738376819657483
Cd_2,0.011801402598659423
Cd_3,0.019211629039863964
Cd_4,0.02942013680901561
Cd_5,0.03663724697807159
Cd_6,0.03592897027453668
Zn_1,0.004060814563574171
Zn_2,0.009025488445499844
Zn_3,0.01589133370359506
Zn_4,0.009750899990342869
Zn_5,0.008251410360159922
Zn_6,0.00908734792305823
Cu_1,0.008524290201304468
Cu_2,0.010594341072627493
Cu_3,0.03794188427774864
Cu_4,0.042751828926301805
Cu_5,0.04627820254684161
Cu_6,0.07495300605726743
Pb_1,-0.000581187650725471
Pb_2,-0.00468522722869933
Pb_3,0.004514444557952167
Pb_4,0.0037425765277275384
Pb_5,0.007778786787128423
Pb_6,0.012315151228849613
