,-0.14028854014285716,-0.12470092457142859,-0.10911330900000002,-0.09352569342857145,-0.07793807785714288,-0.06235046228571431,-0.04676284671428574,-0.031175231142857168,-0.015587615571428598,-2.7755575615628914e-17,0.015587615571428542,0.031175231142857113,0.04676284671428568,0.06235046228571425,0.07793807785714282,0.0935256934285714,0.10911330899999996,0.12470092457142853,0.1402885401428571,0.15587615571428567
thresh,-0.0545566545,0.0545566545,3,,,,,,,,,,,,,,,,,
unreg,1,0,2,3,8,14,28,101,771,3621,899,79,8,1,3,4,2,0,1,0
AmrZ,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0
RsmA,0,0,0,0,0,0,0,0,1,2,4,2,2,1,2,1,0,0,0,0
unreg_genes,['PA0952'],[],['fimV' 'pilA'],['PA4616' 'PA4523' 'PA3116'],['truA' 'PA4683' 'PA5033' 'PA0951a' 'PA0027' 'PA0602' 'PA0391' 'pctC'],"['PA0028' 'PA2761' 'PA0359' 'PA3091' 'cbpA' 'PA5139' 'pilX' 'pilU'
 'PA2436' 'PA3762' 'pilD' 'plcB' 'pilN' 'pilM']",[],[],[],[],[],[],[],['PA3865a'],['pslI' 'PA0172' 'PA2560'],['PA2441' 'PA0169' 'PA0171' 'PA2440'],['PA0170' 'PA4624'],[],['PA4625'],[]
AmrZ_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],['pslA' 'pslL' 'pslC' 'pslF' 'pslB' 'pslJ' 'pslG'],['pslK' 'pslE' 'pslH' 'pslD'],[],[],[],[],[]
RsmA_genes,[],[],[],[],[],[],[],[],['PA4134'],['PA4133' 'PA4131'],['PA4130' 'hpcG' 'PA4132' 'PA4129'],['PA4128' 'pelG'],['pelD' 'pelF'],['pelE'],['pelB' 'pelA'],['pelC'],[],[],[],[]
