,yggG
Cr_1,-0.0032922870400469754
Cr_2,-0.0020528792399890487
Cr_3,0.0071318561574408934
Cr_4,0.022245878200307826
Cr_5,0.032560410039422734
Cr_6,0.04178069299377553
Fe_1,-0.00903124456867703
Fe_2,-0.03559369283189796
Fe_3,-0.06657830777024976
Fe_4,-0.1092417863200204
Fe_5,-0.1461086895580461
Fe_6,-0.17745670121316404
Cd_1,0.004506783759540696
Cd_2,0.01109240406544769
Cd_3,0.018399437331057204
Cd_4,0.023478869906538583
Cd_5,0.026044274264410874
Cd_6,0.027255389973902058
Zn_1,-0.04199123297941849
Zn_2,-0.06610533989713316
Zn_3,-0.07680338477914089
Zn_4,-0.07477986977193016
Zn_5,-0.05844683519239442
Zn_6,-0.05602280340013098
Cu_1,0.005594245970051178
Cu_2,0.015121481706088234
Cu_3,0.016310415627335803
Cu_4,0.013106547649487738
Cu_5,0.00543959571317766
Cu_6,-0.0005892073682886754
Pb_1,0.002799943660016424
Pb_2,0.003947888251305484
Pb_3,0.008037592376036169
Pb_4,0.013784127746105945
Pb_5,0.011783960075700605
Pb_6,0.02114821075088393
