,-0.07553397073163885,-0.056650478048729136,-0.03776698536581942,-0.018883492682909703,1.3877787807814457e-17,0.01888349268290973,0.03776698536581945,0.05665047804872915,0.07553397073163888,0.09441746341454861,0.11330095609745831,0.132184448780368,0.15106794146327773,0.16995143414618746,0.18883492682909714,0.20771841951200687,0.2266019121949166,0.24548540487782633,0.26436889756073606,0.28325239024364574
thresh,-0.0849757170730937,0.0849757170730937,1,,,,,,,,,,,,,,,,,
unreg,0,1,43,834,3944,678,50,10,1,1,0,0,2,1,4,2,1,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],['PA3326'],[],[],['PA3327' 'PA3336'],['PA3329'],['PA3331' 'PA3330' 'PA3335' 'PA3328'],['fabH2' 'PA3332'],['PA3334'],[],[],[]
