,yhhN
Cr_1,-0.0006868176017908209
Cr_2,-0.0010875396090858538
Cr_3,0.001268596537919357
Cr_4,0.0034662875827415397
Cr_5,0.00986781589947035
Cr_6,0.022153080603491408
Fe_1,-0.006215943966250369
Fe_2,-0.01739456842590601
Fe_3,-0.025743670017915356
Fe_4,-0.04002114731477729
Fe_5,-0.04902304591509449
Fe_6,-0.05149141413229166
Cd_1,-0.0017705251249625288
Cd_2,-0.002552621703412013
Cd_3,-0.00151771072000695
Cd_4,0.0007482214483135772
Cd_5,-0.0019660604700377712
Cd_6,0.002071059908908929
Zn_1,0.0008080086608198363
Zn_2,0.010993026659992845
Zn_3,0.031117168634881308
Zn_4,0.05520008257389262
Zn_5,0.08321153381124391
Zn_6,0.10741057137944182
Cu_1,0.00026107999494245405
Cu_2,0.0012132364873254974
Cu_3,0.0034876119529773718
Cu_4,0.004440752162855164
Cu_5,0.007694630520945525
Cu_6,0.011512660681143663
Pb_1,0.005913761875149275
Pb_2,0.0021459251041107056
Pb_3,0.0024353694537304115
Pb_4,0.0023011474229104197
Pb_5,-0.0001895066532573571
Pb_6,0.00048679234165303203
