sample,BSU30640
LBexp_1,7.1424
LBexp_2,7.1306
LBexp_3,7.3653
LBtran_1,7.3048
LBtran_2,7.2716
LBtran_3,7.4753
LBstat_1,7.8003
LBstat_2,7.9517
LBstat_3,7.8805
LBGexp_1,7.0642
LBGexp_2,7.1229
LBGexp_3,7.2196
LBGtran_2,7.7054
LBGtran_3,7.5127
LBGstat_1,7.3632
LBGstat_2,7.3487
LBGstat_3,7.8316
S0_1,7.7779
S0_2,7.6986
S0_3,7.9232
S1_1,7.4029
S1_2,7.4889
S1_3,7.2012
S2_1,7.8708
S2_2,7.4074
S2_3,7.2683
S3_1,7.561
S3_2,7.7068
S4_1,8.2274
S4_2,8.0077
S4_3,7.4529999999999985
S5_1,8.0118
S5_2,7.9748
S5_3,7.8175
S6_1,9.3555
S6_2,10.6497
S6_3,9.1653
S6/t_1,9.4241
S6/t_2,9.936
S6_4,9.3522
S6_5,9.6731
S6_6,9.3978
S7_4,10.5359
S7_5,10.509
S7_6,10.2168
S8_4,10.746
S8_5,11.2393
G135_1,7.582999999999998
G135_3,7.6482
G150_1,7.4626
G150_2,7.1264
G150_3,7.5469
G180_1,7.3928
G180_2,7.1018
G180_3,7.4578
C30_1,8.3069
C30_2,8.1421
C90_1,7.6656
C90_2,6.5452
BI_1,7.4281
BI_2,7.6075
BC_2,7.0232
BC/t_1,7.2648
BC/t_2,8.2456
BC_1,7.0971
Sw_1,7.5788
Sw_2,7.8947
BT_1,13.9984
BT_2,12.9837
B36_1,14.2378
B36_2,14.1042
B60_1,10.9692
B60_2,11.7274
M9exp_1,7.7499
M9exp_2,7.687
M9exp_3,7.0614
M9tran_1,7.4034
M9tran_2,7.5089
M9tran_3,7.7903
M9stat_1,8.0932
M9stat_2,8.0686
M9stat_3,7.8487
M+G_1,8.4009
M+G_2,7.8929
M+G_3,8.3603
Glu_1,7.4606
Glu_2,8.3558
Glu_3,7.564
Fru_1,7.3538
Fru_2,8.2973
Fru_3,7.9668
Mal_1,7.8461
Mal_2,8.1831
Mal_3,8.7248
G+S_2,9.8702
G+S_3,10.8022
Pyr_1,8.3211
Pyr_2,11.2916
Pyr_3,11.0232
Gly_1,8.2287
Gly_2,8.4758
Gly_3,8.5563
Glucon_1,9.2117
Glucon_2,9.732
Glucon_3,8.1488
aero_1,7.5566
aero_2,7.3575
aero_3,7.6125
nit_1,7.7763
nit_2,7.8551
nit_3,7.7112
ferm_1,7.9661
ferm_2,7.8816
ferm_3,7.996
T-5.40H_1,7.229
T-4.40H_1,7.2718
T-3.40H_1,7.082000000000002
T-2.40H_1,7.0864
T-1.40H_1,7.0422
T-1.10H_1,6.6931
T-0.40H_1,6.6576
T0.0H_1,6.6924
T0.30H_1,7.8277
T1.0H_1,7.3182
T1.30H_1,7.8244
T2.0H_1,7.975
T2.30H_1,7.524
T3.0H_1,7.375
T3.30H_1,7.7195
T4.0H_1,7.2338
T5.0H_1,7.6608
HPh_1,7.845
HPh_2,7.3158
HPh_3,7.5862
LPh_1,8.2042
LPh_2,7.499
LPh_3,7.7286
LPhT_1,7.7952
LPhT_2,7.7611
LPhT_3,7.8112
SMMPr_1,7.7788
SMMPr_2,7.5667
SMMPr_3,8.1803
HiTm_1,7.5907
HiTm_2,7.1231
HiTm_3,7.3614
LoTm_1,10.0835
LoTm_2,10.758
LoTm_3,10.1418
HiOs_1,7.0944
HiOs_2,7.3929
HiOs_3,7.1776
BMM_1,7.2742
BMM_2,7.4555
BMM_3,8.0333
Heat_1,8.6643
Heat_2,8.3363
Heat_3,8.6994
Cold_1,7.4283
Cold_2,7.4839
Cold_3,7.5155
Etha_1,10.1774
Etha_2,10.6017
Etha_3,10.645
SMM_1,7.3536
SMM_2,7.0864
SMM_3,7.0929
Salt_1,9.1115
Salt_2,9.2193
Salt_3,9.0444
Mt0_1,7.1243
Mt0_3,6.9051
M0t45_1,7.4956
M0t45_2,7.1871
M0t45_3,7.6266
M0t90_1,7.6712
M0t90_2,7.7304
M0t90_3,7.5485
M40t45_1,7.6725
M40t45_2,7.4543
M40t45_3,7.5834
M40t90_1,7.5552
M40t90_2,7.7326
M40t90_3,7.6869
dia0_1,7.2053
dia0_2,7.2405
dia0_3,6.871
dia5_1,7.3809
dia5_2,7.3786
dia5_3,6.8451
dia15_1,7.1320000000000014
dia15_2,7.2046
dia15_3,7.3366
Diami_1,7.4441
Diami_2,7.2414
Diami_3,7.6922
Paraq_1,7.4925
Paraq_2,7.3667
Paraq_3,7.1977
H2O2_1,7.3956
H2O2_2,8.0982
H2O2_3,8.0323
Oxctl_1,7.8325
Oxctl_2,7.7618
Oxctl_3,7.7334
GM-0.1_1,7.0572
GM-0.2_1,7.5144
GM+5_1,7.082999999999998
GM+15_1,7.0138
GM+25_1,7.1981
GM+45_1,7.2284
GM+60_1,7.0496
GM+90_1,7.2904
GM+120_1,7.4395
GM+150_1,7.643
GM-0.1_2,7.0675
GM-0.2_2,7.6897
GM+5_2,6.9261
GM+10_2,6.9195
GM+15_2,7.1482
GM+25_2,7.3525
GM+45_2,6.6106
GM+60_2,6.7756
GM+90_2,7.9193
GM+150_2,6.7583
GM-0.1_3,7.4682
GM-0.2_3,7.0521
GM+5_3,7.2443
GM+10_3,6.8545
GM+15_3,7.0001
GM+25_3,7.3624
GM+45_3,7.7451
GM+60_3,7.4057
GM+90_3,7.7165
GM+120_3,8.2012
GM+150_3,7.3186
MG-0.1_1,8.1884
MG+5_1,8.4707
MG+10_1,8.9163
MG+15_1,8.4425
MG+25_1,8.4931
MG+45_1,8.0877
MG+120_1,7.5637
MG+150_1,7.6414
MG-0.1_2,6.5433
MG-0.2_2,6.8564
MG+5_2,6.7893
MG+10_2,7.1846
MG+15_2,7.9934
MG+25_2,6.9715
MG+45_2,6.8676
MG+60_2,7.2603
MG+90_2,6.7125
MG+120_2,7.33
MG-0.1_3,7.1307
MG-0.2_3,7.296
MG+5_3,7.4608
MG+10_3,7.1388
MG+15_3,7.2186
MG+25_3,7.2498
MG+45_3,7.1981
MG+60_3,7.2992
MG+90_3,7.0515
MG+120_3,7.0809
MG+150_3,7.2274
