,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A
0,control__wt_glc,0.0,0.034825646500911384,2.0,0.0,-0.0246254508,1.0,0.0246254508,,,,,,,,
1,fur__wt_dpd,0.1572031978,0.3460611243034355,2.0,2.0,-0.0874989699,3.0,0.4019053655,,,,,,,,
2,fur__wt_fe,-0.65968078425,0.4958340089196562,2.0,4.0,-1.0102883743,5.0,-0.3090731942,,,,,,,,
3,fur__delfur_dpd,0.33955432965,0.061512535598955045,2.0,6.0,0.2960583986,7.0,0.38305026070000003,,,,,,,,
4,fur__delfur_fe2,0.1473846205,0.7438062681529352,2.0,8.0,-0.3785658356,9.0,0.6733350766,,,,,,,,
5,acid__wt_ph5,-0.94040183675,0.6054477846070255,2.0,10.0,-0.5122856026,11.0,-1.3685180709,,,,,,,,
6,acid__delgadx_ph5,0.8306714921,,1.0,12.0,0.8306714921,,,,,,,,,,
7,acid__delgadw_ph5,-0.6792735565000001,0.5079401743217692,2.0,13.0,-1.0384414982,14.0,-0.3201056148,,,,,,,,
8,acid__delgade_ph5,-0.84946188915,0.5179838032883627,2.0,15.0,-0.4831920293,16.0,-1.215731749,,,,,,,,
9,oxidative__wt_pq,-0.9742891373,0.06121371361672845,2.0,17.0,-1.0175737693,18.0,-0.9310045053,,,,,,,,
10,oxidative__deloxyr_pq,-2.10044138435,0.07814137499470948,2.0,19.0,-2.1556956805,20.0,-2.0451870882,,,,,,,,
11,oxidative__delsoxr_pq,-0.5731186219000001,0.7188228308984431,2.0,21.0,-0.0648341237,22.0,-1.0814031201,,,,,,,,
12,oxidative__delsoxs_pq,-1.0390093931000002,0.13454417413499692,2.0,23.0,-0.9438722952,24.0,-1.134146491,,,,,,,,
13,nac_ntrc__wt_csn,0.95835869605,0.9006082174482694,2.0,25.0,0.3215325183,26.0,1.5951848738,,,,,,,,
14,nac_ntrc__wt_cytd,-0.2854134752,0.5490057277467748,2.0,27.0,0.1027921978,28.0,-0.6736191482,,,,,,,,
15,nac_ntrc__wt_gln,0.55127412295,0.3102146654313166,2.0,29.0,0.7706290165,30.0,0.3319192294,,,,,,,,
16,nac_ntrc__bw_delnac_csn,-0.5344343845,0.044172539750767514,2.0,31.0,-0.5656690869000001,32.0,-0.5031996821,,,,,,,,
17,nac_ntrc__bw_delnac_cytd,-0.6368985125,0.029859949814891838,2.0,33.0,-0.6157843395,34.0,-0.6580126855,,,,,,,,
18,nac_ntrc__bw_delnac_gln,0.3657668793,0.6670598866390474,2.0,35.0,-0.10591569,36.0,0.8374494486,,,,,,,,
19,nac_ntrc__bw_delnac_nh4,0.007036798599999977,0.7070148461327062,2.0,37.0,-0.4928981935,38.0,0.5069717907,,,,,,,,
20,misc__wt_no_te,0.006194707999999993,0.6130052189184781,2.0,39.0,0.4396548552,40.0,-0.42726543920000004,,,,,,,,
21,misc__bw_delcbl,-0.40522066380000005,0.26150588754036674,2.0,41.0,-0.5901332502000001,42.0,-0.2203080774,,,,,,,,
22,misc__bw_delfabr,0.48502210160000003,0.33926024878088656,2.0,43.0,0.2451288791,44.0,0.7249153241,,,,,,,,
23,misc__bw_delfadr,0.3527639808,0.14583379589000867,2.0,45.0,0.4558840468,46.0,0.2496439148,,,,,,,,
24,misc__nitr_031,-1.9858559778,,1.0,47.0,-1.9858559778,,,,,,,,,,
25,omics__wt_glu,-0.9467899930500001,0.0394661133120115,2.0,48.0,-0.9746967494000001,49.0,-0.9188832367,,,,,,,,
26,omics__wt_gly,1.5095917288,0.34384306765099026,2.0,50.0,1.266457964,51.0,1.7527254936,,,,,,,,
27,omics__wt_thr,1.2609198139000002,0.634577341836609,2.0,52.0,1.7096337555,53.0,0.8122058723000001,,,,,,,,
28,omics__bw_ac,-2.5803919132,1.1630442750386196,2.0,54.0,-3.4027884069,55.0,-1.7579954195,,,,,,,,
29,omics__bw_fum,-0.37231447110000004,1.011374216635225,2.0,56.0,-1.087464038,57.0,0.3428350958,,,,,,,,
30,omics__bw_glc,0.09834320205,0.5632702412804657,2.0,58.0,-0.2999490052,59.0,0.4966354093,,,,,,,,
31,omics__bw_pyr,-0.2031624986999998,4.462422230352711,2.0,60.0,-3.3585715183,61.0,2.9522465209,,,,,,,,
32,ompr__wt_nacl,-1.1104485255,0.02310514074350219,2.0,62.0,-1.0941107238,63.0,-1.1267863272,,,,,,,,
33,ompr__bw_delompr_nacl,-1.63006087175,0.0940177027272226,2.0,64.0,-1.6965414269,65.0,-1.5635803166,,,,,,,,
34,minspan__wt_ade,4.8275211197,,1.0,66.0,4.8275211197,,,,,,,,,,
35,minspan__wt_glc,1.3473842774333333,1.1176975892517627,3.0,67.0,1.6317953415000002,68.0,0.11495828100000001,69.0,2.2953992098000002,,,,,,
36,minspan__wt_glc_anaero,-0.69949488245,1.2030067078731381,2.0,70.0,0.1511593185,71.0,-1.5501490834,,,,,,,,
37,minspan__wt_trp,1.477711393,,1.0,72.0,1.477711393,,,,,,,,,,
38,minspan__bw_delcra_glc,1.5419571362,,1.0,73.0,1.5419571362,,,,,,,,,,
39,minspan__bw_delcra_trp,2.6849164914,,1.0,74.0,2.6849164914,,,,,,,,,,
40,minspan__bw_delmntr,2.4638884489,,1.0,75.0,2.4638884489,,,,,,,,,,
41,minspan__bw_delnac_ade,3.5386708555,,1.0,76.0,3.5386708555,,,,,,,,,,
42,minspan__bw_delnac_glc,0.8100274689,,1.0,77.0,0.8100274689,,,,,,,,,,
43,cra_crp__wt_ac,-2.1071023337500003,0.20518562246926503,2.0,78.0,-1.9620141887,79.0,-2.2521904788000002,,,,,,,,
44,cra_crp__wt_fru,-1.01858409455,0.32364287338042824,2.0,80.0,-0.7897340241,81.0,-1.247434165,,,,,,,,
45,cra_crp__delcra_ac,0.36038983075000003,0.3122576461216953,2.0,82.0,0.13959033170000001,83.0,0.5811893298,,,,,,,,
46,cra_crp__delcra_fru,-0.59858691,0.23606027242434763,2.0,84.0,-0.4316670906,85.0,-0.7655067294,,,,,,,,
47,cra_crp__delcra_glc,-0.8498182375000001,0.03197140771591024,2.0,86.0,-0.8272110383,87.0,-0.8724254367000001,,,,,,,,
48,rpoB__wt_031,-1.6887697647,,1.0,88.0,-1.6887697647,,,,,,,,,,
49,rpoB__wt_044,-1.1104375236,,1.0,89.0,-1.1104375236,,,,,,,,,,
50,rpoB__wt_lb,-2.2622030995499998,0.7098057019164516,2.0,90.0,-1.7602946743999999,91.0,-2.7641115247,,,,,,,,
51,rpoB__rpoBE546V_031,-0.0718400789,,1.0,92.0,-0.0718400789,,,,,,,,,,
52,rpoB__rpoBE546V_044,-1.2888008426,,1.0,93.0,-1.2888008426,,,,,,,,,,
53,rpoB__rpoBE546V_lb,-1.7299544671,1.1732471497556374,2.0,94.0,-2.5595654827,95.0,-0.9003434515000001,,,,,,,,
54,rpoB__rpoBE546V_glc,0.1475245377,,1.0,96.0,0.1475245377,,,,,,,,,,
55,rpoB__rpoBE672K_glc,3.2089247769,2.4506441646510506,2.0,97.0,4.941791884,98.0,1.4760576698,,,,,,,,
56,rpoB__rpoBE672K_lb,-0.9367686147500001,0.1521912910655698,2.0,99.0,-1.0443841087,100.0,-0.8291531208,,,,,,,,
57,crp__wt_fru,-0.6922190890000001,,1.0,101.0,-0.6922190890000001,,,,,,,,,,
58,crp__wt_glyc,-0.7014589049,0.13887365333312143,2.0,102.0,-0.7996574069,103.0,-0.6032604029,,,,,,,,
59,crp__delar1_glyc,-0.33717745800000004,0.47599650117229475,2.0,104.0,-0.0005971042000000001,105.0,-0.6737578118,,,,,,,,
60,crp__delar1ar2_glyc,-0.8531510051666666,0.4608576018846784,3.0,106.0,-0.33925601790000004,107.0,-0.9904168972,108.0,-1.2297801004,,,,,,
61,crp__delar2_glyc,-0.27546078693333337,0.3960819949464108,3.0,109.0,-0.0150629891,110.0,-0.7312755437,111.0,-0.08004382800000001,,,,,,
62,crp__delcrp_fru,-0.5509294144333333,1.0514770079529012,3.0,112.0,-0.7276654569000001,113.0,0.5777160586,114.0,-1.5028388449999999,,,,,,
63,crp__delcrp_glc,-0.09860211156666661,0.9143067770769068,3.0,115.0,-0.2894278189,116.0,-0.9024367459,117.0,0.8960582301000001,,,,,,
64,crp__delcrp_glyc,1.3022683791666667,1.057741791989985,3.0,118.0,2.5069582941,119.0,0.8741627834,120.0,0.52568406,,,,,,
65,glu__glu_ale3,-0.3534086704,,1.0,121.0,-0.3534086704,,,,,,,,,,
66,glu__glu_ale4,-0.5917629279000001,,1.0,122.0,-0.5917629279000001,,,,,,,,,,
67,glu__glu_ale5,-0.5660335086,,1.0,123.0,-0.5660335086,,,,,,,,,,
68,glu__glu_ale6,0.5978743886,,1.0,124.0,0.5978743886,,,,,,,,,,
69,glu__glu_ale8,1.6430564505,,1.0,125.0,1.6430564505,,,,,,,,,,
70,glu__glu_ale9,0.3542495733,,1.0,126.0,0.3542495733,,,,,,,,,,
71,glu__glu_ale10,-1.3176513496,,1.0,127.0,-1.3176513496,,,,,,,,,,
72,42c__wt_42c,-0.934697061,,1.0,128.0,-0.934697061,,,,,,,,,,
73,42c__42c_ale1,-0.4572194805,,1.0,129.0,-0.4572194805,,,,,,,,,,
74,42c__42c_ale2,-0.0977550065,,1.0,130.0,-0.0977550065,,,,,,,,,,
75,42c__42c_ale3,-0.7470129433,,1.0,131.0,-0.7470129433,,,,,,,,,,
76,42c__42c_ale4,-1.6943462419,,1.0,132.0,-1.6943462419,,,,,,,,,,
77,42c__42c_ale5,0.8003724121,,1.0,133.0,0.8003724121,,,,,,,,,,
78,42c__42c_ale6,-0.12001835350000001,,1.0,134.0,-0.12001835350000001,,,,,,,,,,
79,42c__42c_ale8,-1.1851458143,,1.0,135.0,-1.1851458143,,,,,,,,,,
80,42c__42c_ale9,0.1735169637,,1.0,136.0,0.1735169637,,,,,,,,,,
81,42c__42c_ale10,0.47868369800000005,,1.0,137.0,0.47868369800000005,,,,,,,,,,
82,ssw__wt_ac,1.2310905529,,1.0,138.0,1.2310905529,,,,,,,,,,
83,ssw__wt_glc,0.39780594610000003,,1.0,139.0,0.39780594610000003,,,,,,,,,,
84,ssw__wt_glyc,3.4035417319,,1.0,140.0,3.4035417319,,,,,,,,,,
85,ssw__wt_xyl,6.5261790151,,1.0,141.0,6.5261790151,,,,,,,,,,
86,ssw__glc_ale1,-0.8857408323,,1.0,142.0,-0.8857408323,,,,,,,,,,
87,ssw__glc_ale2,1.8171408596,,1.0,143.0,1.8171408596,,,,,,,,,,
88,ssw__glc_ale3,2.5210194870000002,,1.0,144.0,2.5210194870000002,,,,,,,,,,
