,rhoL
Cr_1,0.007839073928892453
Cr_2,0.013328995979130977
Cr_3,0.014262815153951943
Cr_4,0.020993492230448284
Cr_5,0.028650856515444342
Cr_6,0.03266794990053476
Fe_1,-0.008462225645445168
Fe_2,-0.02621167969196068
Fe_3,-0.0453865549131932
Fe_4,-0.06382833911276314
Fe_5,-0.06699643429553458
Fe_6,-0.06274560931881214
Cd_1,-0.002416088788945081
Cd_2,0.0004133075872609864
Cd_3,0.004442344466945385
Cd_4,0.003778565222532607
Cd_5,0.0033813752902865928
Cd_6,0.008590102293682693
Zn_1,-0.03652573649260665
Zn_2,-0.05769268189356669
Zn_3,-0.07935903033715543
Zn_4,-0.0784314104437286
Zn_5,-0.08371440773118229
Zn_6,-0.07548594465545037
Cu_1,0.0007858286196137555
Cu_2,0.003335460484291766
Cu_3,0.010156925590177626
Cu_4,0.016115375424331703
Cu_5,0.021777655782747773
Cu_6,0.025307703685756012
Pb_1,-0.009187417879160838
Pb_2,-0.01091348910467381
Pb_3,-0.002818273247747304
Pb_4,-0.00035701590086984527
Pb_5,0.009802131525794537
Pb_6,0.02020207000188256
